,0,1,2,3,4,5
0,22.1,20.3,20.3,18.9,20.3,20.3
1,17.0,17.8,17.8,17.8,20.3,20.3
2,14.8,15.4,15.4,15.4,15.8,15.8
3,15.4,61.6,61.6,50.9,50.9,50.9
4,14.6,50.9,42.7,92.8,92.8,92.8
5,15.1,15.4,15.4,17.0,17.0,17.0
6,17.8,17.0,17.8,17.0,17.0,17.0
7,15.8,15.8,61.6,61.6,61.6,61.6
8,15.4,15.1,36.3,42.7,36.3,36.3
9,16.3,15.8,17.0,24.5,24.5,24.5
10,17.0,16.3,15.8,24.5,22.1,22.1
11,17.8,17.8,17.0,17.8,17.8,17.8
12,22.1,20.3,20.3,18.9,18.9,18.9
13,24.5,22.1,20.3,20.3,20.3,20.3
14,27.5,24.5,22.1,22.1,22.1,22.1
15,24.5,24.5,22.1,22.1,20.3,20.3
16,61.6,61.6,50.9,42.7,42.7,42.7
17,115.5,92.8,75.2,61.6,61.6,61.6
18,75.2,61.6,50.9,50.9,42.7,42.7
19,50.9,42.7,36.3,31.3,31.3,31.3
20,24.5,22.1,20.3,20.3,20.3,20.3
21,36.3,31.3,31.3,24.5,24.5,24.5
22,50.9,36.3,36.3,31.3,31.3,31.3
23,115.5,92.8,75.2,61.6,61.6,61.6
24,31.3,31.3,24.5,24.5,24.5,24.5
25,24.5,24.5,22.1,20.3,20.3,20.3
26,27.5,24.5,24.5,22.1,22.1,22.1
27,75.2,61.6,50.9,50.9,42.7,42.7
28,50.9,42.7,36.3,36.3,31.3,31.3
29,50.9,36.3,36.3,31.3,31.3,31.3
30,42.7,36.3,31.3,31.3,31.3,31.3
31,50.9,36.3,36.3,31.3,31.3,31.3
32,230.4,182.1,144.6,115.5,115.5,115.5
33,230.4,230.4,144.6,144.6,115.5,115.5
34,115.5,92.8,75.2,61.6,61.6,61.6
35,36.3,31.3,27.5,24.5,24.5,24.5
36,92.8,61.6,61.6,50.9,50.9,50.9
37,31.3,31.3,24.5,24.5,24.5,24.5
38,31.3,31.3,27.5,24.5,24.5,24.5
39,61.6,50.9,42.7,36.3,36.3,36.3
40,115.5,92.8,75.2,61.6,61.6,61.6
41,144.6,115.5,92.8,75.2,75.2,75.2
42,36.3,36.3,31.3,27.5,27.5,27.5
43,24.5,22.1,22.1,20.3,20.3,20.3
44,36.3,31.3,27.5,24.5,24.5,24.5
45,22.1,20.3,20.3,18.9,18.9,18.9
46,20.3,20.3,31.3,75.2,92.8,92.8
47,15.4,15.1,15.1,15.4,15.8,15.8
