,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,2.14,0.0,0.0,0.0,1868824.0,83212.0,28112762.5,0.0
1,1.74,0.19,0.06,1181.0,1868824.0,67702.01,26375169.4,0.0349
2,1.54,0.28,0.07,2117.89,1868824.0,60095.86,26236184.68,0.0175
3,1.41,0.34,0.07,2345.4,1868824.0,54862.32,26197763.29,0.0139
4,1.38,0.36,0.07,2704.98,1868824.0,53560.44,26191501.83,0.0061
5,1.36,0.37,0.07,2891.82,1868824.0,52762.5,26188385.22,0.0032
6,1.33,0.38,0.07,3196.19,1868824.0,51924.47,26184213.53,0.0038
7,1.3,0.39,0.07,3381.73,1868824.0,50794.32,26180163.57,0.0052
8,1.28,0.4,0.07,3532.35,1868824.0,49838.24,26177306.69,0.0046
9,1.25,0.41,0.07,3910.13,1868824.0,48753.52,26173369.94,0.0055
10,1.23,0.42,0.07,4019.83,1868824.0,47931.69,26171787.81,0.0159
11,1.22,0.43,0.07,4114.3,1868824.0,47454.74,26170916.64,0.0027
12,1.19,0.44,0.07,4485.07,1868824.0,46329.0,26167518.19,0.0051
13,1.18,0.45,0.07,4524.9,1868824.0,46098.13,26167058.37,0.0026
14,1.17,0.45,0.07,4651.31,1868824.0,45639.82,26166441.71,0.0032
15,1.16,0.46,0.07,4724.92,1868824.0,45321.73,26166066.13,0.0022
16,1.16,0.46,0.07,4747.29,1868824.0,45186.08,26165877.7,0.0012
17,1.16,0.46,0.07,4763.08,1868824.0,45005.8,26165729.91,0.0012
18,1.15,0.46,0.07,4782.96,1868824.0,44826.29,26165479.82,0.0015
19,1.15,0.46,0.07,4797.06,1868824.0,44692.83,26165362.96,0.0012
20,1.15,0.46,0.07,4814.62,1868824.0,44603.61,26165249.75,0.0009
21,1.14,0.46,0.07,4827.88,1868824.0,44559.31,26165198.52,0.0007
22,1.14,0.47,0.07,4861.32,1868824.0,44425.94,26165027.84,0.0012
23,1.14,0.47,0.07,4875.59,1868824.0,44248.75,26164880.05,0.0015
24,1.14,0.47,0.07,4885.78,1868824.0,44204.56,26164818.7,0.0007
25,1.13,0.47,0.07,4922.25,1868824.0,44116.32,26164709.63,0.0009
26,1.13,0.47,0.07,4930.69,1868824.0,44072.26,26164660.11,0.0007
27,1.13,0.47,0.07,4982.25,1868824.0,43940.36,26164475.48,0.0012
28,1.13,0.47,0.07,4985.15,1868824.0,43896.48,26164414.01,0.0007
29,1.13,0.47,0.07,4985.15,1868824.0,43896.48,26164414.01,0.0004
