,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,2.14,0.0,0.0,0.0,1868824.0,83212.0,28112762.5,0.0
1,2.06,0.04,0.02,866.67,1868824.0,80277.07,27418412.28,0.0139
2,1.96,0.09,0.05,2399.22,1868824.0,76129.17,26721191.77,0.0357
3,1.76,0.18,0.06,3556.82,1868824.0,68529.72,26378086.79,0.0167
4,1.58,0.26,0.07,4320.52,1868824.0,61322.35,26260510.36,0.0189
5,1.53,0.29,0.07,5013.8,1868824.0,59417.85,26222623.21,0.0335
6,1.46,0.32,0.07,5392.91,1868824.0,56857.64,26210169.95,0.0095
7,1.41,0.34,0.07,5744.47,1868824.0,54955.21,26202493.56,0.0084
8,1.36,0.36,0.07,6174.42,1868824.0,52925.81,26194485.8,0.0108
9,1.42,0.34,0.07,6476.78,1868824.0,55130.16,26190791.0,0.0159
10,1.37,0.36,0.07,6964.73,1868824.0,53490.35,26182472.75,0.0108
11,1.4,0.34,0.07,7109.69,1868824.0,54650.79,26180856.61,0.0039
12,1.38,0.35,0.07,7178.36,1868824.0,53904.73,26179336.43,0.0043
13,1.35,0.37,0.07,7264.81,1868824.0,52420.14,26176380.56,0.0197
14,1.33,0.38,0.07,7396.07,1868824.0,51814.95,26175275.28,0.0201
15,1.29,0.4,0.07,7811.11,1868824.0,50042.07,26171588.27,0.0071
16,1.27,0.41,0.07,7878.01,1868824.0,49353.82,26170729.96,0.0033
17,1.26,0.41,0.07,7937.52,1868824.0,48966.32,26170218.97,0.0199
18,1.24,0.42,0.07,8168.22,1868824.0,48215.8,26168948.46,0.0029
19,1.2,0.44,0.07,8361.27,1868824.0,46713.63,26167193.83,0.0059
20,1.2,0.44,0.07,8388.16,1868824.0,46637.91,26166828.45,0.0014
21,1.2,0.44,0.07,8390.6,1868824.0,46701.7,26166820.08,0.0147
22,1.2,0.44,0.07,8400.33,1868824.0,46892.88,26166785.8,0.0007
23,1.2,0.44,0.07,8402.52,1868824.0,46914.8,26166745.52,0.0023
24,1.2,0.44,0.07,8402.52,1868824.0,46914.8,26166745.52,0.0004
