,0,1,2,3,4,5,6,7,8
0,22.1,22.1,20.3,61.6,61.6,50.9,50.9,50.9,50.9
1,17.0,16.3,15.8,42.7,92.8,92.8,92.8,92.8,92.8
2,17.0,17.0,16.3,17.0,24.5,24.5,27.5,27.5,27.5
3,20.3,18.9,18.9,17.8,20.3,18.9,24.5,22.1,22.1
4,17.8,17.0,20.3,20.3,20.3,18.9,20.3,20.3,20.3
5,15.8,15.8,17.0,31.3,31.3,31.3,31.3,31.3,31.3
6,15.4,15.4,15.8,22.1,24.5,24.5,24.5,36.3,36.3
7,15.1,17.8,17.0,17.0,17.8,17.8,17.8,18.9,18.9
8,15.1,75.2,61.6,61.6,50.9,50.9,50.9,50.9,50.9
9,14.8,20.3,22.1,22.1,22.1,20.3,20.3,20.3,20.3
10,15.4,15.4,75.2,61.6,61.6,61.6,50.9,61.6,61.6
11,15.1,15.1,20.3,20.3,18.9,18.9,18.9,22.1,22.1
12,31.3,27.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1
13,75.2,61.6,61.6,50.9,50.9,42.7,42.7,36.3,36.3
14,115.5,115.5,92.8,75.2,61.6,61.6,61.6,61.6,61.6
15,92.8,75.2,61.6,50.9,50.9,50.9,42.7,42.7,42.7
16,42.7,36.3,36.3,31.3,31.3,27.5,27.5,27.5,27.5
17,115.5,92.8,92.8,61.6,61.6,61.6,61.6,50.9,50.9
18,61.6,61.6,50.9,42.7,36.3,36.3,36.3,36.3,36.3
19,61.6,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3
20,50.9,50.9,36.3,36.3,31.3,31.3,31.3,31.3,31.3
21,61.6,61.6,50.9,42.7,42.7,36.3,36.3,36.3,36.3
22,92.8,75.2,61.6,50.9,50.9,50.9,50.9,42.7,42.7
23,61.6,61.6,50.9,42.7,42.7,36.3,36.3,36.3,36.3
24,24.5,24.5,22.1,22.1,20.3,20.3,20.3,20.3,20.3
25,36.3,31.3,27.5,24.5,24.5,24.5,24.5,24.5,24.5
26,36.3,36.3,31.3,27.5,24.5,24.5,24.5,24.5,24.5
27,31.3,31.3,27.5,24.5,24.5,24.5,22.1,22.1,22.1
28,75.2,61.6,61.6,50.9,50.9,42.7,42.7,36.3,36.3
29,61.6,61.6,50.9,42.7,36.3,36.3,36.3,36.3,36.3
30,75.2,61.6,61.6,50.9,42.7,42.7,36.3,36.3,36.3
31,92.8,75.2,61.6,50.9,50.9,50.9,42.7,42.7,42.7
32,115.5,115.5,92.8,75.2,75.2,61.6,61.6,61.6,61.6
33,61.6,61.6,50.9,42.7,42.7,36.3,36.3,36.3,36.3
34,50.9,42.7,36.3,31.3,31.3,31.3,31.3,27.5,27.5
35,115.5,92.8,92.8,61.6,61.6,61.6,61.6,50.9,50.9
36,230.4,230.4,182.1,144.6,115.5,115.5,115.5,115.5,115.5
37,182.1,144.6,115.5,92.8,92.8,92.8,92.8,75.2,75.2
38,144.6,115.5,92.8,75.2,75.2,61.6,61.6,61.6,61.6
39,115.5,92.8,92.8,61.6,61.6,61.6,61.6,50.9,50.9
40,92.8,92.8,61.6,61.6,50.9,50.9,50.9,50.9,50.9
41,92.8,75.2,61.6,50.9,50.9,50.9,42.7,42.7,42.7
42,42.7,36.3,31.3,31.3,27.5,27.5,27.5,27.5,27.5
43,31.3,27.5,24.5,22.1,22.1,31.3,31.3,27.5,27.5
44,24.5,22.1,22.1,20.3,20.3,42.7,42.7,42.7,42.7
45,20.3,20.3,18.9,17.8,17.8,20.3,20.3,20.3,20.3
46,36.3,36.3,31.3,27.5,36.3,75.2,92.8,115.5,115.5
47,17.8,17.8,17.0,17.0,17.0,17.0,17.8,17.8,17.8
