,0,1,2,3,4,5
0,17.8,20.3,17.8,50.9,22.1,22.1
1,15.8,20.3,15.4,36.3,15.1,24.5
2,18.9,17.8,24.5,15.4,36.3,22.1
3,15.1,17.8,17.0,17.0,92.8,17.8
4,14.5,16.3,17.8,24.5,27.5,20.3
5,14.4,24.5,24.5,31.3,17.8,36.3
6,14.4,31.3,36.3,17.8,17.8,17.8
7,14.8,17.0,15.4,15.4,22.1,17.8
8,14.6,22.1,15.8,17.8,17.8,17.8
9,14.8,36.3,17.0,17.8,17.0,27.5
10,14.8,24.5,24.5,18.9,15.4,22.1
11,14.8,24.5,27.5,27.5,16.3,22.1
12,14.6,22.1,31.3,20.3,17.8,20.3
13,17.8,18.9,16.3,24.5,16.3,18.9
14,42.7,17.0,17.0,20.3,24.5,24.5
15,22.1,17.0,17.8,17.0,31.3,18.9
16,22.1,18.9,24.5,17.0,18.9,18.9
17,24.5,31.3,17.8,22.1,27.5,27.5
18,24.5,20.3,17.8,16.3,24.5,24.5
19,16.3,18.9,15.4,61.6,18.9,17.0
20,31.3,17.8,20.3,20.3,17.8,18.9
21,36.3,20.3,22.1,27.5,22.1,24.5
22,17.8,20.3,15.8,17.8,22.1,22.1
23,24.5,22.1,17.8,16.3,22.1,20.3
24,61.6,22.1,20.3,18.9,20.3,22.1
25,18.9,18.9,16.3,27.5,17.0,18.9
26,17.8,22.1,17.8,24.5,20.3,17.8
27,24.5,20.3,31.3,20.3,22.1,18.9
28,24.5,20.3,24.5,22.1,20.3,17.0
29,20.3,17.0,24.5,15.8,18.9,18.9
30,36.3,18.9,18.9,24.5,20.3,17.8
31,24.5,17.8,20.3,50.9,17.0,31.3
32,50.9,22.1,20.3,18.9,17.8,20.3
33,75.2,22.1,20.3,18.9,24.5,17.0
34,61.6,31.3,31.3,20.3,20.3,17.0
35,42.7,24.5,22.1,20.3,18.9,15.8
36,50.9,24.5,24.5,20.3,20.3,22.1
37,50.9,31.3,31.3,20.3,24.5,22.1
38,50.9,20.3,31.3,18.9,24.5,20.3
39,230.4,31.3,31.3,22.1,24.5,17.8
40,92.8,24.5,17.8,18.9,17.8,27.5
41,50.9,17.8,20.3,20.3,22.1,27.5
42,24.5,17.0,18.9,24.5,20.3,24.5
43,17.8,18.9,22.1,22.1,17.0,42.7
44,17.0,20.3,75.2,17.8,17.8,31.3
45,14.5,20.3,50.9,18.9,27.5,24.5
46,16.3,18.9,20.3,20.3,27.5,15.8
47,20.3,15.8,20.3,27.5,31.3,17.0
