,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,objective
0,1.16,0.0,0.0,0.0,163055109.0,3941842.0,3163825264.5,0.0,3163825264.5
1,1.14,0.02,0.05,254776.18,163055109.0,3863830.98,2999318279.09,0.0181,2999573055.27
2,1.12,0.04,0.08,439553.39,163055109.0,3802755.15,2904882744.42,0.0147,2905322297.81
3,1.11,0.05,0.1,591062.53,163055109.0,3761157.51,2849868353.03,0.0103,2850459415.5600004
4,1.09,0.06,0.12,732027.57,163055109.0,3705140.17,2793010018.69,0.0127,2793742046.26
5,1.07,0.07,0.13,817314.79,163055109.0,3646300.47,2749135945.79,0.0145,2749953260.58
6,1.07,0.08,0.14,868591.74,163055109.0,3620852.82,2731889782.38,0.0069,2732758374.12
7,1.06,0.09,0.14,897358.14,163055109.0,3602784.72,2722127059.13,0.0053,2723024417.27
8,1.05,0.09,0.14,948073.37,163055109.0,3575520.24,2710945657.38,0.0078,2711893730.75
9,1.05,0.1,0.15,984457.03,163055109.0,3557678.36,2704122379.69,0.0053,2705106836.7200003
10,1.04,0.1,0.15,1013589.7,163055109.0,3543468.98,2699138269.06,0.0153,2700151858.7599998
11,1.04,0.1,0.15,1041507.71,163055109.0,3529953.17,2695545942.04,0.0044,2696587449.75
12,1.04,0.11,0.15,1056954.52,163055109.0,3519373.91,2693086348.33,0.0036,2694143302.85
13,1.03,0.11,0.15,1070205.75,163055109.0,3512338.69,2691850783.0,0.0028,2692920988.75
14,1.03,0.11,0.15,1076193.53,163055109.0,3505317.54,2690153349.65,0.0028,2691229543.1800003
15,1.03,0.11,0.15,1089803.85,163055109.0,3498310.42,2688634489.8,0.0028,2689724293.65
16,1.03,0.11,0.15,1100462.22,163055109.0,3491317.31,2687644392.81,0.0028,2688744855.0299997
17,1.03,0.11,0.15,1100462.22,163055109.0,3491317.31,2687644392.81,0.0011,2688744855.0299997
