,0,1,2,3,4,5
0,20.3,75.2,61.6,27.5,50.9,42.7
1,17.0,36.3,50.9,27.5,61.6,61.6
2,15.8,20.3,20.3,22.1,24.5,27.5
3,16.3,42.7,50.9,50.9,61.6,42.7
4,16.3,24.5,22.1,20.3,24.5,22.1
5,17.0,50.9,92.8,92.8,61.6,50.9
6,15.4,27.5,42.7,36.3,31.3,27.5
7,15.8,20.3,50.9,36.3,24.5,24.5
8,14.8,24.5,115.5,61.6,42.7,31.3
9,15.1,61.6,115.5,61.6,92.8,50.9
10,15.8,24.5,36.3,27.5,31.3,31.3
11,20.3,61.6,92.8,50.9,115.5,115.5
12,24.5,24.5,24.5,22.1,27.5,27.5
13,75.2,36.3,36.3,31.3,36.3,36.3
14,50.9,50.9,42.7,42.7,36.3,36.3
15,50.9,27.5,36.3,31.3,24.5,31.3
16,92.8,42.7,50.9,50.9,31.3,42.7
17,61.6,31.3,24.5,31.3,27.5,31.3
18,61.6,36.3,24.5,36.3,31.3,31.3
19,61.6,42.7,31.3,61.6,50.9,42.7
20,61.6,27.5,22.1,24.5,24.5,24.5
21,115.5,50.9,31.3,42.7,42.7,50.9
22,61.6,42.7,27.5,50.9,50.9,61.6
23,61.6,27.5,22.1,24.5,31.3,31.3
24,50.9,36.3,42.7,42.7,31.3,42.7
25,31.3,36.3,36.3,36.3,24.5,31.3
26,36.3,31.3,27.5,36.3,36.3,31.3
27,42.7,42.7,50.9,50.9,92.8,92.8
28,36.3,31.3,24.5,27.5,31.3,31.3
29,92.8,31.3,24.5,27.5,22.1,27.5
30,75.2,92.8,61.6,61.6,50.9,61.6
31,42.7,24.5,24.5,24.5,22.1,24.5
32,182.1,50.9,42.7,42.7,36.3,42.7
33,182.1,50.9,36.3,50.9,36.3,36.3
34,182.1,50.9,36.3,61.6,36.3,50.9
35,230.4,61.6,50.9,50.9,61.6,50.9
36,182.1,42.7,42.7,36.3,31.3,42.7
37,230.4,42.7,50.9,50.9,36.3,50.9
38,144.6,36.3,36.3,36.3,31.3,31.3
39,144.6,36.3,36.3,36.3,31.3,36.3
40,230.4,50.9,50.9,50.9,61.6,50.9
41,230.4,61.6,50.9,75.2,61.6,50.9
42,61.6,24.5,27.5,31.3,27.5,24.5
43,31.3,24.5,31.3,50.9,50.9,31.3
44,22.1,42.7,36.3,61.6,61.6,42.7
45,24.5,50.9,50.9,50.9,50.9,50.9
46,31.3,50.9,31.3,31.3,36.3,36.3
47,18.9,42.7,22.1,18.9,24.5,20.3
