,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,objective
0,1.87,0.0,0.0,0.0,3291808.0,128402.0,50848943.1,0.0,50848943.1
1,1.57,0.16,0.08,4364.18,3291808.0,107543.96,46781540.14,0.1042,46785904.32
2,1.45,0.22,0.09,6487.31,3291808.0,99590.04,46409319.62,0.0526,46415806.93
3,1.34,0.29,0.09,8042.77,3291808.0,91643.88,46253184.51,0.0509,46261227.28
4,1.26,0.32,0.09,8888.94,3291808.0,86745.89,46197125.75,0.032,46206014.69
5,1.21,0.35,0.09,10164.52,3291808.0,82952.12,46165319.0,0.0265,46175483.52
6,1.19,0.36,0.09,11150.87,3291808.0,81552.25,46154116.95,0.0178,46165267.82
7,1.16,0.38,0.09,12407.01,3291808.0,79830.01,46138829.36,0.0218,46151236.37
8,1.14,0.39,0.09,13877.85,3291808.0,78296.86,46125608.19,0.0179,46139486.04
9,1.13,0.4,0.09,14369.63,3291808.0,77283.76,46120378.7,0.0164,46134748.330000006
10,1.12,0.4,0.09,14605.27,3291808.0,76925.96,46118862.57,0.0073,46133467.84
11,1.11,0.4,0.09,14819.28,3291808.0,76412.73,46116946.32,0.0059,46131765.6
12,1.11,0.41,0.09,14981.46,3291808.0,76224.71,46116221.94,0.0039,46131203.4
13,1.1,0.41,0.09,15293.43,3291808.0,75777.97,46114019.12,0.0086,46129312.55
14,1.1,0.41,0.09,15450.34,3291808.0,75528.93,46113427.48,0.0029,46128877.82
15,1.1,0.41,0.09,15514.09,3291808.0,75241.48,46112674.83,0.0023,46128188.92
16,1.09,0.42,0.09,15576.17,3291808.0,74618.51,46111614.43,0.0095,46127190.6
17,1.08,0.42,0.09,15636.9,3291808.0,74248.75,46110950.82,0.0041,46126587.72
18,1.08,0.42,0.09,15674.93,3291808.0,74085.57,46110667.98,0.0051,46126342.91
19,1.08,0.42,0.09,15789.83,3291808.0,73916.08,46110433.61,0.0025,46126223.44
20,1.08,0.43,0.09,15824.02,3291808.0,73829.17,46110379.88,0.002,46126203.900000006
21,1.07,0.43,0.09,15895.42,3291808.0,73711.11,46110224.41,0.001,46126119.83
22,1.06,0.43,0.09,15761.81,3291808.0,72887.56,46109697.19,0.0089,46125459.0
23,1.06,0.43,0.09,15843.26,3291808.0,72765.75,46109562.72,0.0011,46125405.98
24,1.05,0.44,0.09,15708.24,3291808.0,72031.18,46109234.99,0.0064,46124943.230000004
25,1.05,0.44,0.09,15708.24,3291808.0,72031.18,46109234.99,0.0006,46124943.230000004
