,0,1,2,3,4,5
0,108.342,89.922,77.96,67.073,95.968,59.283
1,66.271,68.371,72.425,69.108,55.04,81.988
2,50.849,58.014,66.373,73.079,63.065,47.419
3,40.255,58.703,67.675,80.603,113.349,63.145
4,46.971,55.335,96.711,94.095,82.432,68.242
5,24.966,67.901,92.695,121.14,66.951,85.615
6,30.645,98.924,90.224,66.964,41.971,77.388
7,26.262,98.705,90.101,44.265,59.5,84.38
8,18.885,69.876,40.797,42.302,59.155,85.514
9,35.361,66.339,66.464,69.599,92.123,114.265
10,82.851,65.688,89.93,63.337,44.874,48.482
11,93.194,58.337,75.703,65.915,48.415,47.063
12,71.031,63.61,89.559,73.875,61.301,70.225
13,89.386,50.309,94.335,95.771,62.524,69.14
14,79.237,49.138,64.74,62.636,61.208,84.255
15,94.029,29.482,39.798,40.762,53.98,79.611
16,108.608,19.394,44.42,59.239,74.26,59.06
17,121.342,19.43,59.757,85.912,85.82,66.845
18,63.386,66.095,77.161,76.841,88.313,64.236
19,47.396,79.306,50.309,64.484,92.529,79.813
20,40.136,108.401,53.238,51.699,86.219,65.31
21,43.814,58.703,59.023,56.325,108.612,67.987
22,48.561,64.927,56.291,65.428,113.98,64.669
23,74.311,111.231,100.107,48.69,55.002,37.995
24,103.882,95.502,111.477,59.15,79.876,23.892
25,82.435,83.357,91.174,52.34,68.024,43.853
26,83.365,63.074,77.862,100.433,69.301,61.694
27,78.0,69.947,66.199,111.533,51.748,69.84
28,89.889,63.243,51.878,66.175,70.223,120.428
29,46.254,93.451,63.783,48.805,44.6,126.106
30,79.33,51.079,61.175,51.751,36.051,43.494
31,66.135,70.347,43.074,60.66,71.364,79.731
32,100.802,63.272,61.943,52.029,49.184,67.365
33,128.402,58.915,60.597,73.589,58.751,48.097
34,120.125,76.978,46.683,74.526,40.487,36.481
35,97.592,59.825,92.893,71.94,82.147,58.658
36,39.164,67.342,105.058,64.841,128.816,56.856
37,51.377,83.408,71.639,67.533,93.247,102.007
38,70.5,113.63,27.653,68.729,33.225,74.93
39,66.459,111.913,49.529,90.4,64.487,92.194
40,56.148,71.989,62.487,86.601,58.975,56.744
41,66.119,60.155,41.951,86.55,49.322,54.299
42,64.229,58.581,87.377,31.471,75.594,90.501
43,58.74,73.038,88.512,52.327,77.692,68.888
44,69.889,61.441,20.503,79.714,48.064,74.474
45,42.648,52.56,87.371,59.694,50.681,60.769
46,38.115,66.206,69.98,58.285,59.926,55.49
47,86.12,46.414,35.214,83.59,63.432,53.087
