,0,1,2,3,4,5,6,7,8
0,31.3,27.5,24.5,24.5,24.5,31.3,31.3,31.3,31.3
1,31.3,24.5,24.5,24.5,24.5,75.2,61.6,75.2,75.2
2,17.0,20.3,18.9,17.8,17.8,22.1,22.1,22.1,22.1
3,15.8,31.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5
4,15.8,144.6,144.6,144.6,115.5,115.5,92.8,92.8,92.8
5,15.8,22.1,22.1,24.5,75.2,61.6,61.6,61.6,61.6
6,17.8,17.0,17.0,17.0,36.3,31.3,31.3,36.3,36.3
7,16.3,24.5,24.5,22.1,24.5,22.1,22.1,24.5,24.5
8,15.8,20.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5
9,17.0,16.3,92.8,92.8,92.8,61.6,61.6,61.6,61.6
10,16.3,15.8,27.5,92.8,92.8,75.2,75.2,61.6,61.6
11,17.0,17.0,17.0,36.3,36.3,31.3,61.6,61.6,61.6
12,22.1,20.3,20.3,22.1,22.1,20.3,36.3,36.3,36.3
13,31.3,27.5,24.5,24.5,24.5,22.1,24.5,50.9,50.9
14,31.3,27.5,24.5,24.5,24.5,22.1,22.1,42.7,42.7
15,36.3,31.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5
16,75.2,61.6,50.9,50.9,50.9,36.3,36.3,36.3,36.3
17,182.1,144.6,115.5,115.5,92.8,92.8,75.2,75.2,75.2
18,144.6,115.5,115.5,92.8,92.8,75.2,75.2,61.6,61.6
19,92.8,75.2,61.6,61.6,50.9,50.9,50.9,42.7,42.7
20,115.5,92.8,75.2,61.6,61.6,50.9,50.9,50.9,50.9
21,92.8,75.2,61.6,61.6,61.6,50.9,50.9,42.7,42.7
22,61.6,50.9,42.7,42.7,36.3,36.3,31.3,31.3,31.3
23,115.5,92.8,92.8,75.2,61.6,61.6,50.9,50.9,50.9
24,92.8,61.6,61.6,50.9,50.9,42.7,42.7,36.3,36.3
25,75.2,61.6,50.9,50.9,50.9,42.7,36.3,36.3,36.3
26,50.9,42.7,36.3,36.3,31.3,31.3,31.3,27.5,27.5
27,42.7,36.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5
28,115.5,92.8,92.8,75.2,75.2,61.6,61.6,50.9,50.9
29,75.2,61.6,50.9,50.9,50.9,42.7,36.3,36.3,36.3
30,75.2,61.6,50.9,50.9,42.7,36.3,36.3,36.3,36.3
31,115.5,92.8,92.8,75.2,61.6,61.6,61.6,50.9,50.9
32,144.6,115.5,92.8,92.8,75.2,61.6,61.6,61.6,61.6
33,230.4,182.1,144.6,115.5,115.5,92.8,92.8,92.8,92.8
34,230.4,144.6,144.6,115.5,115.5,92.8,92.8,92.8,92.8
35,144.6,115.5,115.5,92.8,92.8,75.2,61.6,61.6,61.6
36,182.1,144.6,115.5,115.5,115.5,92.8,92.8,75.2,75.2
37,144.6,115.5,92.8,92.8,92.8,61.6,61.6,61.6,61.6
38,230.4,182.1,144.6,144.6,144.6,115.5,115.5,92.8,92.8
39,92.8,75.2,61.6,61.6,61.6,50.9,50.9,42.7,42.7
40,144.6,115.5,92.8,92.8,75.2,61.6,61.6,61.6,61.6
41,61.6,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3
42,50.9,42.7,36.3,36.3,31.3,31.3,31.3,27.5,27.5
43,50.9,50.9,42.7,36.3,36.3,31.3,31.3,31.3,31.3
44,42.7,36.3,31.3,31.3,31.3,61.6,92.8,115.5,115.5
45,22.1,20.3,18.9,18.9,17.8,20.3,22.1,22.1,22.1
46,31.3,31.3,27.5,27.5,27.5,75.2,61.6,61.6,61.6
47,20.3,17.8,17.8,17.8,17.8,31.3,31.3,27.5,27.5
