,0,1,2,3,4,5
0,1424.85,1378.159,1285.248,1406.498,1378.117,1333.723
1,1344.015,1298.573,1237.76,1298.37,1289.611,1234.798
2,1285.95,1409.198,1338.276,1398.98,1453.765,1363.401
3,1202.313,1288.058,1226.433,1264.461,1317.922,1251.659
4,1123.645,1420.474,1466.559,1399.666,1350.932,1411.897
5,897.98,1260.758,1311.257,1297.481,1275.118,1224.047
6,1002.806,1301.221,1407.082,1285.474,1298.884,1223.763
7,1007.537,1295.987,1437.418,1385.314,1391.24,1424.259
8,1084.039,1198.871,1232.862,1207.77,1247.094,1361.046
9,1195.578,1307.637,1308.059,1266.637,1275.014,1363.723
10,1211.429,1502.421,1482.398,1418.488,1492.108,1506.188
11,1228.316,1484.775,1411.189,1362.9,1361.975,1420.816
12,1259.035,1263.08,1252.303,1249.989,1208.388,1216.828
13,1388.571,1379.318,1411.777,1455.482,1406.238,1377.558
14,1260.642,1383.788,1411.679,1416.205,1461.288,1392.004
15,1285.081,1239.823,1274.95,1217.363,1262.453,1264.423
16,1490.234,1364.77,1382.733,1350.747,1371.095,1351.747
17,1478.736,1334.887,1354.563,1347.093,1336.391,1349.626
18,1574.364,1404.147,1458.955,1457.227,1416.592,1486.729
19,1644.095,1479.157,1554.027,1512.523,1463.672,1522.024
20,1442.406,1429.539,1447.62,1441.975,1364.833,1435.973
21,1271.299,1225.56,1220.906,1208.637,1204.741,1236.904
22,1314.631,1380.096,1424.095,1469.896,1441.615,1380.524
23,1205.6,1329.968,1339.881,1392.783,1412.698,1262.69
24,1278.999,1202.261,1173.974,1181.215,1175.212,1224.295
25,1453.0,1320.822,1353.415,1329.639,1414.625,1410.315
26,1391.104,1365.279,1413.189,1378.585,1456.713,1400.152
27,1336.71,1264.04,1310.159,1241.619,1282.014,1313.8
28,1471.397,1342.132,1336.26,1346.079,1292.437,1341.444
29,1434.636,1311.121,1291.905,1275.68,1247.137,1311.186
30,1370.5,1284.18,1274.743,1227.084,1233.437,1312.192
31,1457.737,1366.127,1364.656,1312.611,1292.863,1376.264
32,1548.32,1435.302,1419.704,1446.004,1400.055,1446.799
33,1456.896,1347.902,1329.797,1368.076,1348.286,1309.45
34,1452.549,1333.354,1337.071,1347.843,1354.247,1303.225
35,1513.283,1405.988,1408.684,1345.452,1421.643,1406.426
36,1547.997,1435.787,1416.859,1401.098,1441.582,1455.961
37,1412.328,1307.147,1266.252,1318.365,1296.92,1319.508
38,1531.298,1413.536,1413.466,1431.655,1392.433,1419.444
39,1623.402,1501.458,1456.479,1561.364,1489.634,1490.805
40,1432.85,1344.207,1286.577,1352.57,1330.055,1323.508
41,1440.435,1299.51,1270.46,1317.91,1336.383,1320.663
42,1471.777,1328.183,1293.328,1355.371,1354.94,1370.557
43,1451.62,1437.903,1362.102,1438.066,1468.248,1417.045
44,1294.154,1382.754,1313.408,1324.952,1344.106,1304.986
45,1307.543,1348.512,1344.91,1294.835,1291.117,1264.391
46,1278.045,1441.86,1472.384,1436.748,1426.79,1374.071
47,1239.094,1239.196,1231.014,1274.046,1246.165,1205.989
