,0,1,2,3,4,5
0,24.5,20.3,18.9,17.8,18.9,20.3
1,17.8,20.3,31.3,36.3,24.5,36.3
2,15.8,31.3,92.8,2304.0,115.5,92.8
3,15.8,22.1,24.5,24.5,20.3,22.1
4,14.8,27.5,31.3,115.5,20.3,18.9
5,14.3,36.3,50.9,2304.0,36.3,36.3
6,14.5,61.6,36.3,27.5,27.5,75.2
7,17.0,31.3,31.3,20.3,20.3,31.3
8,17.8,20.3,31.3,20.3,20.3,22.1
9,15.4,22.1,31.3,22.1,27.5,24.5
10,15.8,50.9,75.2,31.3,61.6,36.3
11,17.8,31.3,36.3,22.1,31.3,27.5
12,31.3,22.1,20.3,20.3,22.1,24.5
13,92.8,27.5,42.7,24.5,24.5,31.3
14,92.8,31.3,31.3,24.5,50.9,31.3
15,115.5,42.7,36.3,36.3,50.9,42.7
16,36.3,24.5,24.5,20.3,22.1,22.1
17,36.3,20.3,22.1,20.3,22.1,20.3
18,36.3,22.1,20.3,22.1,22.1,22.1
19,42.7,61.6,36.3,50.9,50.9,61.6
20,17.8,50.9,36.3,31.3,36.3,42.7
21,24.5,36.3,42.7,27.5,24.5,36.3
22,36.3,24.5,24.5,24.5,24.5,31.3
23,36.3,17.8,22.1,22.1,22.1,24.5
24,36.3,20.3,20.3,22.1,22.1,22.1
25,36.3,22.1,18.9,22.1,20.3,27.5
26,42.7,36.3,61.6,36.3,61.6,42.7
27,24.5,18.9,20.3,17.0,22.1,17.8
28,75.2,36.3,31.3,31.3,36.3,27.5
29,61.6,36.3,24.5,31.3,31.3,27.5
30,31.3,22.1,20.3,18.9,22.1,20.3
31,61.6,27.5,20.3,24.5,31.3,31.3
32,75.2,31.3,24.5,24.5,31.3,36.3
33,50.9,31.3,27.5,22.1,31.3,27.5
34,36.3,22.1,20.3,17.8,24.5,20.3
35,61.6,27.5,22.1,24.5,24.5,22.1
36,61.6,36.3,24.5,31.3,27.5,24.5
37,230.4,61.6,75.2,92.8,75.2,75.2
38,115.5,36.3,50.9,50.9,36.3,36.3
39,115.5,42.7,36.3,50.9,42.7,36.3
40,42.7,24.5,20.3,20.3,24.5,22.1
41,75.2,36.3,27.5,27.5,24.5,31.3
42,92.8,42.7,31.3,36.3,31.3,24.5
43,50.9,31.3,36.3,42.7,31.3,31.3
44,24.5,36.3,31.3,36.3,31.3,31.3
45,20.3,22.1,20.3,18.9,22.1,22.1
46,17.0,36.3,36.3,50.9,36.3,31.3
47,17.0,24.5,24.5,24.5,24.5,20.3
