,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,27.5,27.5,24.5,24.5,22.1,22.1,22.1,20.3,20.3,20.3,22.1,24.5,24.5,24.5,24.5,24.5,31.3,31.3,31.3
1,31.3,31.3,31.3,27.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3
2,31.3,31.3,27.5,24.5,24.5,22.1,22.1,22.1,36.3,36.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,31.3,31.3
3,24.5,22.1,22.1,22.1,20.3,20.3,20.3,20.3,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3,31.3,36.3,36.3
4,15.4,15.8,15.4,61.6,61.6,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3
5,15.4,20.3,18.9,24.5,22.1,22.1,22.1,20.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5,31.3,31.3,31.3
6,14.8,61.6,61.6,50.9,50.9,42.7,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,36.3,36.3,31.3,31.3,31.3
7,16.3,15.8,17.0,16.3,36.3,31.3,31.3,27.5,27.5,27.5,24.5,24.5,24.5,24.5,31.3,31.3,31.3,31.3,31.3
8,15.4,15.4,61.6,50.9,50.9,42.7,42.7,36.3,36.3,36.3,31.3,31.3,31.3,36.3,36.3,31.3,31.3,31.3,31.3
9,16.3,15.8,20.3,20.3,18.9,31.3,31.3,27.5,24.5,24.5,24.5,24.5,22.1,36.3,31.3,31.3,31.3,31.3,31.3
10,20.3,20.3,18.9,18.9,17.8,61.6,61.6,50.9,50.9,50.9,50.9,42.7,36.3,36.3,36.3,36.3,36.3,31.3,31.3
11,22.1,22.1,20.3,20.3,20.3,20.3,20.3,22.1,22.1,22.1,22.1,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3
12,20.3,20.3,18.9,18.9,17.8,27.5,24.5,24.5,24.5,24.5,24.5,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
13,42.7,36.3,36.3,31.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,31.3,27.5,31.3,31.3,31.3
14,92.8,92.8,75.2,61.6,61.6,50.9,50.9,42.7,36.3,36.3,36.3,36.3,36.3,31.3,31.3,31.3,36.3,36.3,36.3
15,75.2,61.6,61.6,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,27.5,36.3,36.3,36.3
16,92.8,92.8,75.2,61.6,61.6,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3,31.3,31.3,36.3,31.3,31.3
17,115.5,115.5,92.8,92.8,75.2,61.6,61.6,50.9,50.9,50.9,50.9,42.7,42.7,42.7,36.3,36.3,36.3,36.3,36.3
18,42.7,36.3,36.3,36.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5,22.1,31.3,27.5,27.5,27.5,27.5,31.3,31.3
19,144.6,144.6,115.5,115.5,92.8,75.2,75.2,61.6,61.6,61.6,50.9,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3
20,230.4,230.4,182.1,144.6,115.5,115.5,115.5,92.8,92.8,92.8,75.2,75.2,61.6,61.6,61.6,61.6,50.9,50.9,50.9
21,92.8,75.2,61.6,61.6,50.9,50.9,42.7,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
22,31.3,31.3,27.5,24.5,24.5,22.1,22.1,24.5,22.1,22.1,22.1,24.5,24.5,24.5,24.5,31.3,27.5,36.3,36.3
23,24.5,24.5,24.5,22.1,22.1,20.3,20.3,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,31.3,36.3,36.3
24,22.1,22.1,22.1,20.3,22.1,22.1,20.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,36.3,31.3,31.3,31.3,31.3
25,20.3,18.9,18.9,17.8,36.3,36.3,36.3,31.3,31.3,31.3,31.3,27.5,24.5,24.5,36.3,36.3,36.3,36.3,36.3
26,17.8,17.8,17.8,17.0,61.6,61.6,61.6,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,31.3,31.3,31.3
27,27.5,24.5,24.5,22.1,22.1,22.1,20.3,22.1,20.3,36.3,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3
28,36.3,31.3,31.3,31.3,27.5,24.5,24.5,22.1,22.1,27.5,27.5,24.5,31.3,31.3,31.3,31.3,27.5,36.3,36.3
29,61.6,50.9,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,27.5,31.3,31.3,31.3,31.3,31.3,36.3,36.3
