,0,1,2,3,4,5,6,7,8
0,17.8,17.0,17.0,22.1,22.1,22.1,22.1,22.1,22.1
1,15.8,15.8,15.8,17.8,17.0,20.3,20.3,20.3,20.3
2,17.8,17.8,17.0,17.0,17.0,22.1,22.1,36.3,36.3
3,17.8,17.8,17.0,17.0,17.0,17.8,17.8,24.5,24.5
4,17.0,27.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1
5,14.6,61.6,61.6,61.6,50.9,50.9,50.9,50.9,50.9
6,14.6,22.1,61.6,61.6,61.6,50.9,50.9,50.9,50.9
7,14.8,14.8,22.1,22.1,50.9,50.9,50.9,50.9,50.9
8,15.8,15.8,16.3,16.3,24.5,24.5,24.5,24.5,24.5
9,17.8,17.8,17.0,17.0,17.8,22.1,22.1,20.3,20.3
10,17.8,17.8,17.8,17.0,17.0,50.9,50.9,50.9,50.9
11,18.9,17.8,17.8,17.0,17.0,24.5,24.5,24.5,24.5
12,24.5,24.5,22.1,22.1,22.1,20.3,20.3,20.3,20.3
13,24.5,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3
14,61.6,50.9,50.9,50.9,42.7,36.3,36.3,36.3,36.3
15,36.3,36.3,31.3,31.3,31.3,27.5,27.5,24.5,24.5
16,61.6,61.6,50.9,50.9,50.9,42.7,36.3,36.3,36.3
17,92.8,61.6,61.6,61.6,50.9,50.9,50.9,50.9,50.9
18,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3
19,61.6,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3
20,31.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5,24.5
21,24.5,24.5,22.1,22.1,22.1,20.3,20.3,20.3,20.3
22,50.9,50.9,42.7,36.3,36.3,36.3,36.3,31.3,31.3
23,31.3,27.5,27.5,24.5,24.5,24.5,22.1,22.1,22.1
24,31.3,27.5,27.5,24.5,24.5,24.5,24.5,22.1,22.1
25,50.9,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3
26,92.8,75.2,61.6,61.6,61.6,50.9,50.9,50.9,50.9
27,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3
28,22.1,20.3,20.3,20.3,18.9,18.9,20.3,20.3,20.3
29,24.5,24.5,22.1,22.1,22.1,20.3,20.3,20.3,20.3
30,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3
31,61.6,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3
32,61.6,61.6,50.9,50.9,50.9,42.7,42.7,36.3,36.3
33,27.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1
34,27.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1
35,61.6,61.6,50.9,50.9,50.9,42.7,36.3,36.3,36.3
36,230.4,230.4,182.1,144.6,144.6,144.6,115.5,115.5,115.5
37,92.8,75.2,75.2,61.6,61.6,50.9,50.9,50.9,50.9
38,115.5,92.8,92.8,75.2,75.2,61.6,61.6,61.6,61.6
39,115.5,115.5,92.8,92.8,92.8,61.6,61.6,61.6,61.6
40,92.8,75.2,61.6,61.6,61.6,50.9,50.9,50.9,50.9
41,36.3,31.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5
42,42.7,36.3,36.3,36.3,31.3,31.3,31.3,27.5,27.5
43,27.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1
44,36.3,36.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5
45,27.5,24.5,24.5,22.1,22.1,22.1,22.1,20.3,20.3
46,36.3,31.3,36.3,75.2,75.2,61.6,75.2,75.2,75.2
47,16.3,15.8,15.8,18.9,18.9,17.8,18.9,18.9,18.9
