,0,1,2,3,4,5
0,20.3,31.3,31.3,31.3,61.6,36.3
1,17.0,17.8,17.0,17.0,22.1,20.3
2,15.8,24.5,22.1,24.5,20.3,20.3
3,14.8,50.9,31.3,36.3,50.9,36.3
4,15.4,22.1,17.8,18.9,22.1,22.1
5,17.0,17.0,17.8,17.8,17.8,18.9
6,15.4,42.7,50.9,92.8,24.5,36.3
7,14.8,50.9,50.9,92.8,22.1,61.6
8,15.8,18.9,20.3,22.1,17.8,22.1
9,17.0,20.3,18.9,17.8,18.9,20.3
10,15.8,75.2,31.3,92.8,115.5,75.2
11,15.8,22.1,17.0,22.1,22.1,22.1
12,24.5,17.8,18.9,20.3,22.1,18.9
13,36.3,24.5,22.1,22.1,27.5,24.5
14,24.5,20.3,20.3,17.8,20.3,22.1
15,31.3,22.1,24.5,22.1,22.1,22.1
16,61.6,36.3,50.9,42.7,36.3,31.3
17,61.6,36.3,42.7,36.3,42.7,36.3
18,92.8,50.9,61.6,50.9,61.6,50.9
19,92.8,36.3,61.6,50.9,50.9,61.6
20,36.3,24.5,24.5,24.5,24.5,24.5
21,20.3,115.5,75.2,42.7,36.3,27.5
22,15.8,22.1,17.8,17.0,17.0,17.0
23,27.5,22.1,22.1,20.3,20.3,22.1
24,115.5,61.6,61.6,42.7,61.6,50.9
25,230.4,115.5,115.5,115.5,115.5,115.5
26,31.3,22.1,22.1,24.5,24.5,22.1
27,24.5,20.3,20.3,22.1,22.1,20.3
28,31.3,22.1,20.3,20.3,22.1,20.3
29,24.5,17.8,20.3,18.9,20.3,20.3
30,27.5,17.8,22.1,22.1,22.1,24.5
31,31.3,20.3,24.5,22.1,22.1,24.5
32,36.3,24.5,31.3,24.5,31.3,31.3
33,50.9,36.3,36.3,24.5,36.3,36.3
34,144.6,61.6,115.5,61.6,92.8,92.8
35,75.2,36.3,42.7,36.3,42.7,36.3
36,144.6,61.6,92.8,75.2,92.8,61.6
37,115.5,50.9,61.6,50.9,50.9,50.9
38,36.3,24.5,27.5,27.5,24.5,24.5
39,36.3,27.5,22.1,24.5,20.3,22.1
40,50.9,31.3,42.7,31.3,24.5,36.3
41,31.3,24.5,24.5,20.3,22.1,22.1
42,36.3,27.5,31.3,27.5,24.5,24.5
43,20.3,18.9,17.0,17.8,17.8,17.0
44,27.5,20.3,22.1,20.3,20.3,22.1
45,50.9,27.5,24.5,36.3,31.3,31.3
46,50.9,31.3,24.5,36.3,31.3,36.3
47,22.1,22.1,20.3,20.3,22.1,20.3
