,0,1,2,3,4,5
0,20.3,36.3,31.3,31.3,27.5,31.3
1,17.0,36.3,36.3,17.0,50.9,36.3
2,17.8,27.5,18.9,22.1,24.5,24.5
3,17.0,20.3,36.3,22.1,24.5,61.6
4,15.4,20.3,230.4,22.1,36.3,50.9
5,15.1,27.5,36.3,22.1,36.3,22.1
6,17.8,42.7,22.1,115.5,20.3,27.5
7,18.9,31.3,24.5,36.3,24.5,24.5
8,17.8,27.5,27.5,24.5,42.7,20.3
9,15.8,50.9,50.9,36.3,36.3,24.5
10,15.4,50.9,61.6,31.3,61.6,50.9
11,18.9,50.9,42.7,36.3,31.3,27.5
12,22.1,36.3,27.5,31.3,31.3,22.1
13,50.9,36.3,27.5,50.9,27.5,36.3
14,42.7,24.5,36.3,36.3,27.5,42.7
15,92.8,31.3,36.3,31.3,24.5,36.3
16,230.4,61.6,61.6,92.8,50.9,61.6
17,61.6,36.3,27.5,31.3,31.3,24.5
18,92.8,42.7,31.3,36.3,31.3,27.5
19,61.6,36.3,31.3,50.9,36.3,31.3
20,36.3,61.6,50.9,50.9,50.9,27.5
21,115.5,31.3,31.3,27.5,36.3,31.3
22,50.9,31.3,24.5,42.7,36.3,50.9
23,36.3,36.3,27.5,61.6,50.9,61.6
24,50.9,20.3,31.3,36.3,31.3,36.3
25,50.9,20.3,31.3,31.3,24.5,31.3
26,50.9,36.3,31.3,50.9,24.5,31.3
27,31.3,42.7,36.3,50.9,24.5,31.3
28,50.9,27.5,24.5,31.3,24.5,61.6
29,31.3,27.5,36.3,31.3,36.3,36.3
30,22.1,27.5,31.3,31.3,36.3,36.3
31,75.2,24.5,24.5,50.9,27.5,24.5
32,50.9,24.5,36.3,50.9,20.3,31.3
33,50.9,31.3,31.3,36.3,27.5,36.3
34,92.8,31.3,27.5,36.3,42.7,36.3
35,92.8,36.3,31.3,31.3,31.3,31.3
36,144.6,36.3,50.9,31.3,36.3,50.9
37,75.2,31.3,36.3,24.5,42.7,42.7
38,61.6,36.3,27.5,42.7,61.6,36.3
39,92.8,50.9,36.3,42.7,50.9,31.3
40,230.4,61.6,61.6,50.9,92.8,50.9
41,92.8,50.9,42.7,31.3,36.3,31.3
42,182.1,42.7,61.6,36.3,50.9,61.6
43,31.3,31.3,31.3,24.5,22.1,42.7
44,24.5,22.1,50.9,24.5,24.5,24.5
45,27.5,27.5,31.3,20.3,27.5,31.3
46,24.5,61.6,31.3,31.3,50.9,36.3
47,15.8,92.8,22.1,36.3,92.8,36.3
