,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,22.1,22.1,20.3,24.5,31.3,27.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
1,15.8,15.4,15.4,16.3,50.9,42.7,36.3,36.3,42.7,36.3,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3
2,16.3,15.8,15.8,15.4,20.3,18.9,17.8,17.8,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,36.3,36.3,36.3,36.3,36.3,36.3
3,20.3,20.3,18.9,17.8,17.8,17.0,17.0,17.0,17.8,17.8,17.8,17.0,17.0,17.0,17.8,17.8,17.8,18.9,18.9,17.8,17.8,17.8
4,15.1,61.6,50.9,42.7,36.3,36.3,31.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
5,14.2,31.3,92.8,75.2,61.6,61.6,50.9,50.9,42.7,50.9,42.7,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3,36.3,31.3,31.3
6,14.6,14.8,17.8,17.0,17.0,22.1,22.1,20.3,20.3,22.1,24.5,24.5,24.5,27.5,27.5,27.5,31.3,31.3,36.3,36.3,36.3,36.3
7,17.0,16.3,15.8,15.8,15.4,17.8,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.8,17.0,17.0,17.8,17.8,17.8,17.8,17.8,17.8
8,20.3,18.9,17.8,17.8,17.0,18.9,20.3,22.1,36.3,31.3,31.3,31.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3
9,17.8,17.8,17.0,16.3,15.8,15.8,15.8,15.8,17.8,17.8,17.8,17.8,20.3,18.9,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
10,16.3,16.3,36.3,31.3,27.5,24.5,24.5,22.1,22.1,22.1,20.3,20.3,22.1,20.3,22.1,20.3,22.1,22.1,22.1,22.1,20.3,20.3
11,14.8,15.1,31.3,31.3,27.5,27.5,24.5,24.5,22.1,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3
12,15.4,15.4,17.0,17.8,17.0,20.3,22.1,22.1,22.1,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3
13,15.8,15.8,15.4,15.8,15.4,15.8,15.8,16.3,15.8,20.3,20.3,18.9,18.9,20.3,20.3,22.1,20.3,20.3,20.3,22.1,22.1,22.1
