,0,1,2,3,4,5
0,1392.449,1308.991,1268.458,1234.45,1221.668,1201.716
1,1435.487,1334.479,1318.376,1312.565,1264.431,1299.959
2,1281.132,1231.207,1245.296,1250.074,1258.867,1205.88
3,1118.907,1388.769,1493.619,1457.6,1484.129,1380.755
4,1068.041,1399.711,1399.374,1380.188,1410.326,1318.6
5,1118.819,1203.956,1221.527,1234.465,1215.41,1224.95
6,936.113,1234.77,1492.654,1402.7,1371.746,1406.191
7,848.176,1339.136,1607.556,1457.385,1538.181,1544.245
8,893.783,1194.761,1280.938,1260.855,1274.361,1224.291
9,1090.424,1384.977,1433.525,1373.222,1412.727,1385.459
10,1096.154,1412.224,1391.723,1460.857,1408.268,1452.493
11,1185.252,1454.218,1432.876,1474.558,1432.04,1445.136
12,1254.841,1348.898,1346.658,1323.283,1368.955,1299.649
13,1330.791,1232.795,1218.053,1244.793,1259.744,1203.263
14,1364.722,1258.448,1248.93,1267.754,1251.889,1262.371
15,1358.147,1257.743,1230.545,1274.611,1220.225,1237.9
16,1344.642,1409.213,1370.319,1423.723,1409.37,1489.002
17,1280.563,1392.019,1263.804,1362.552,1348.201,1410.118
18,1318.379,1253.271,1236.015,1250.141,1250.85,1247.059
19,1424.273,1370.057,1285.949,1310.891,1329.298,1292.32
20,1556.489,1504.724,1467.164,1468.623,1456.836,1487.809
21,1256.225,1226.893,1248.578,1189.744,1193.861,1249.007
22,1273.897,1238.9,1323.662,1280.398,1337.606,1334.265
23,1285.516,1197.943,1257.135,1242.717,1275.556,1285.769
24,1491.138,1426.879,1463.75,1470.369,1432.741,1461.093
25,1290.504,1366.785,1344.51,1354.016,1350.865,1342.548
26,1284.093,1244.357,1250.753,1232.937,1220.649,1285.247
27,1335.119,1207.64,1199.763,1241.534,1219.563,1251.275
28,1385.992,1263.275,1283.889,1287.048,1263.726,1190.748
29,1465.147,1371.65,1359.646,1351.051,1333.55,1341.032
30,1589.001,1490.785,1454.041,1403.365,1403.355,1460.227
31,1518.428,1422.466,1324.483,1369.321,1356.255,1350.493
32,1520.36,1415.119,1353.447,1380.382,1356.514,1327.147
33,1572.177,1457.918,1425.333,1419.736,1431.42,1421.68
34,1584.524,1472.471,1423.003,1449.136,1447.194,1439.067
35,1516.226,1372.161,1321.025,1353.788,1361.639,1381.082
36,1615.198,1456.562,1468.86,1437.231,1480.052,1442.706
37,1500.793,1384.941,1367.451,1395.763,1406.269,1377.63
38,1549.781,1455.078,1417.673,1409.391,1448.015,1433.108
39,1633.537,1516.302,1504.788,1461.115,1541.108,1475.572
40,1516.4,1391.117,1389.175,1366.962,1405.051,1373.44
41,1464.394,1331.113,1323.598,1323.061,1366.072,1369.659
42,1410.738,1274.13,1218.072,1271.408,1271.39,1321.375
43,1379.72,1260.585,1204.514,1276.988,1234.596,1292.414
44,1561.807,1404.083,1433.009,1417.333,1412.933,1453.479
45,1369.725,1280.986,1282.609,1253.667,1268.761,1263.404
46,1296.149,1536.543,1490.63,1511.181,1416.705,1490.887
47,1241.547,1224.671,1218.964,1230.788,1182.752,1172.2
