,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.25,0.0,0.0,0.0,63775055.0,1666726.0,1106788848.3,0.0
1,1.22,0.03,0.05,98498.38,63775055.0,1622308.17,1051706883.1,0.0207
2,1.2,0.05,0.08,190598.18,63775055.0,1588861.12,1021364097.89,0.0158
3,1.17,0.07,0.1,269997.42,63775055.0,1557382.42,1000838365.8,0.0152
4,1.15,0.08,0.11,335528.15,63775055.0,1531421.92,987705814.83,0.0134
5,1.14,0.09,0.12,358872.78,63775055.0,1510120.82,979447077.42,0.0112
6,1.12,0.11,0.12,398647.22,63775055.0,1487011.61,972685036.47,0.0127
7,1.11,0.12,0.12,421409.75,63775055.0,1470736.02,968945716.55,0.0097
8,1.09,0.13,0.13,451837.18,63775055.0,1447603.15,964509597.64,0.0104
9,1.08,0.14,0.13,469517.96,63775055.0,1440557.6,963418857.32,0.0046
10,1.07,0.15,0.13,485013.1,63775055.0,1420520.36,960756849.16,0.0112
11,1.06,0.15,0.13,490169.67,63775055.0,1413431.95,959943310.27,0.0046
12,1.06,0.15,0.13,493709.35,63775055.0,1410606.5,959652196.95,0.0024
13,1.06,0.16,0.13,496859.12,63775055.0,1407786.69,959381255.24,0.0024
14,1.06,0.16,0.13,499962.32,63775055.0,1404972.53,959186006.72,0.0024
15,1.06,0.16,0.13,503228.63,63775055.0,1402163.99,959033837.02,0.0024
16,1.05,0.16,0.13,505880.57,63775055.0,1399361.06,958884710.13,0.0024
17,1.05,0.16,0.13,508886.12,63775055.0,1396563.74,958748699.15,0.0024
18,1.05,0.16,0.13,510364.83,63775055.0,1395167.18,958648931.84,0.0016
19,1.04,0.17,0.13,517422.16,63775055.0,1381276.74,958043802.34,0.0186
20,1.04,0.17,0.13,517422.16,63775055.0,1381276.74,958043802.34,0.0009
