,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.26,0.0,0.0,0.0,64346193.0,1687164.0,1061733357.2,0.0
1,1.24,0.02,0.03,92366.96,64346193.0,1657051.96,1034653170.15,0.0257
2,1.21,0.04,0.04,186910.26,64346193.0,1622599.96,1014624795.98,0.0285
3,1.2,0.05,0.05,213365.87,64346193.0,1609668.09,1008961728.33,0.0184
4,1.19,0.06,0.05,247666.68,64346193.0,1593801.14,1004003112.15,0.0205
5,1.19,0.06,0.06,260044.72,64346193.0,1590927.92,1003194604.09,0.0161
6,1.19,0.05,0.06,282658.78,64346193.0,1597774.59,1000223813.9,0.0235
7,1.2,0.05,0.06,292664.16,64346193.0,1609228.44,999646157.46,0.016
8,1.19,0.05,0.06,310355.95,64346193.0,1600113.32,998123572.41,0.0166
9,1.19,0.05,0.06,312980.72,64346193.0,1599525.72,998019711.78,0.0158
10,1.19,0.05,0.06,312980.72,64346193.0,1599525.72,998019711.78,0.0177
