,0,1,2,3,4,5
0,15.8,17.0,17.0,16.3,15.4,24.5
1,14.6,17.8,22.1,15.1,15.8,22.1
2,14.6,17.8,27.5,16.3,18.9,20.3
3,15.1,20.3,17.8,20.3,20.3,22.1
4,14.5,17.8,20.3,16.3,24.5,17.8
5,14.5,15.8,24.5,17.0,20.3,15.8
6,14.2,24.5,22.1,115.5,50.9,24.5
7,14.3,42.7,27.5,24.5,36.3,22.1
8,14.6,50.9,24.5,17.0,27.5,17.8
9,14.8,20.3,18.9,20.3,17.8,22.1
10,14.5,17.0,24.5,31.3,17.8,20.3
11,15.1,31.3,75.2,31.3,20.3,24.5
12,17.8,31.3,24.5,22.1,20.3,20.3
13,18.9,20.3,22.1,16.3,18.9,31.3
14,18.9,17.8,18.9,17.8,17.8,18.9
15,17.0,20.3,17.8,18.9,18.9,24.5
16,20.3,17.8,15.8,17.8,22.1,27.5
17,42.7,17.0,17.0,24.5,20.3,20.3
18,24.5,20.3,17.8,22.1,17.8,17.8
19,24.5,20.3,16.3,16.3,18.9,20.3
20,27.5,17.8,17.0,18.9,17.8,20.3
21,24.5,17.8,22.1,20.3,20.3,20.3
22,24.5,17.8,17.8,20.3,24.5,22.1
23,22.1,24.5,22.1,18.9,20.3,27.5
24,22.1,24.5,20.3,18.9,20.3,22.1
25,24.5,18.9,17.8,17.0,20.3,20.3
26,31.3,22.1,18.9,20.3,20.3,24.5
27,50.9,20.3,17.0,22.1,18.9,20.3
28,27.5,20.3,20.3,20.3,22.1,18.9
29,17.0,17.8,17.8,18.9,18.9,20.3
30,18.9,17.8,20.3,18.9,20.3,17.0
31,16.3,20.3,18.9,22.1,18.9,15.8
32,36.3,24.5,20.3,20.3,20.3,17.8
33,61.6,18.9,20.3,22.1,20.3,18.9
34,50.9,18.9,22.1,18.9,20.3,18.9
35,61.6,18.9,22.1,20.3,18.9,20.3
36,36.3,17.8,20.3,20.3,20.3,17.0
37,92.8,20.3,18.9,20.3,22.1,17.8
38,115.5,24.5,20.3,22.1,20.3,22.1
39,230.4,42.7,36.3,50.9,36.3,31.3
40,50.9,20.3,20.3,20.3,20.3,20.3
41,31.3,18.9,20.3,24.5,22.1,18.9
42,27.5,20.3,22.1,20.3,22.1,24.5
43,42.7,22.1,17.0,18.9,20.3,20.3
44,20.3,17.8,20.3,31.3,18.9,17.8
45,22.1,17.8,18.9,22.1,17.8,15.8
46,22.1,24.5,22.1,18.9,18.9,17.8
47,15.1,18.9,24.5,20.3,17.8,20.3
