,0,1,2,3,4,5
0,1280.731,1357.633,1317.182,1440.253,1375.931,1390.129
1,1344.883,1420.824,1379.351,1466.251,1342.85,1362.788
2,1218.291,1353.419,1386.02,1314.194,1264.006,1239.909
3,1114.105,1368.381,1359.118,1347.493,1337.594,1255.364
4,941.527,1476.75,1325.379,1224.795,1234.409,1123.583
5,986.005,1316.872,1295.846,1176.049,1310.007,1266.612
6,944.703,1233.388,1278.424,1230.027,1435.692,1314.354
7,968.466,1433.502,1296.885,1324.805,1401.265,1409.421
8,1004.323,1617.089,1410.467,1295.997,1396.044,1202.431
9,1103.13,1388.585,1327.468,1316.019,1425.72,1250.04
10,1005.744,1341.19,1353.945,1249.756,1402.219,1253.014
11,1155.645,1269.46,1488.498,1300.893,1228.595,1279.868
12,1318.571,1200.262,1351.832,1358.954,1282.773,1272.581
13,1316.054,1295.334,1300.874,1313.495,1335.544,1362.579
14,1396.405,1376.393,1369.932,1344.252,1438.326,1384.488
15,1425.555,1334.77,1366.804,1433.967,1408.67,1417.622
16,1468.144,1271.015,1250.631,1321.101,1302.71,1421.396
17,1317.571,1324.485,1355.742,1228.289,1361.839,1450.045
18,1347.916,1257.432,1298.089,1277.511,1269.681,1326.928
19,1403.862,1283.594,1239.419,1299.365,1282.784,1281.792
20,1325.578,1292.346,1404.463,1273.243,1306.028,1235.826
21,1313.095,1306.156,1320.993,1323.452,1295.613,1275.007
22,1280.711,1296.219,1315.906,1362.039,1287.738,1334.303
23,1464.173,1371.316,1328.011,1371.397,1266.348,1420.257
24,1427.381,1363.158,1229.738,1358.222,1267.292,1320.199
25,1553.677,1362.743,1280.596,1404.792,1386.533,1332.323
26,1519.729,1322.121,1252.238,1461.774,1380.475,1402.045
27,1428.952,1339.0,1375.66,1391.082,1356.704,1423.141
28,1369.832,1314.956,1388.084,1268.575,1398.18,1407.506
29,1359.329,1280.561,1271.038,1271.235,1292.835,1352.705
30,1303.441,1360.213,1273.825,1333.637,1265.729,1365.4
31,1496.928,1338.601,1295.362,1319.443,1232.082,1378.155
32,1555.863,1353.738,1347.457,1356.397,1274.881,1363.421
33,1419.073,1344.72,1298.764,1335.813,1341.058,1322.364
34,1614.179,1344.034,1363.238,1419.402,1367.052,1405.615
35,1630.731,1383.492,1404.534,1368.5,1389.355,1424.752
36,1683.439,1381.864,1436.038,1444.546,1488.071,1398.435
37,1659.362,1416.999,1408.749,1486.236,1458.181,1402.069
38,1392.271,1324.976,1338.822,1348.373,1293.841,1324.718
39,1273.997,1334.793,1383.904,1283.997,1304.415,1322.022
40,1593.432,1342.493,1282.841,1377.019,1334.873,1398.053
41,1505.647,1314.718,1188.104,1313.029,1413.327,1368.744
42,1548.489,1293.23,1298.37,1347.99,1417.066,1367.124
43,1273.823,1263.363,1511.177,1329.565,1297.601,1228.144
44,1326.253,1327.29,1438.477,1330.007,1236.967,1274.063
45,1404.951,1385.302,1369.374,1369.567,1311.31,1431.378
46,1290.663,1310.753,1302.011,1351.169,1319.669,1356.764
47,1076.009,1163.106,1292.959,1288.672,1332.756,1253.162
