,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.29,0.0,0.0,0.0,62802929.0,1688564.0,1015163543.5,0.0
1,1.25,0.03,0.04,905850.75,62802929.0,1630456.36,974050551.98,0.023
2,1.21,0.06,0.06,1714401.43,62802929.0,1582245.4,952122182.18,0.0203
3,1.18,0.08,0.07,2210386.36,62802929.0,1545081.7,941138955.85,0.0166
4,1.16,0.1,0.08,2395721.07,62802929.0,1523590.86,936638044.63,0.0099
5,1.16,0.1,0.08,2464278.98,62802929.0,1514472.35,934979062.73,0.0048
6,1.15,0.11,0.08,2529893.73,62802929.0,1505408.5,933622917.1,0.0048
7,1.14,0.12,0.08,2661416.91,62802929.0,1491912.84,931903989.96,0.0061
8,1.13,0.13,0.08,2728337.57,62802929.0,1472634.49,930144280.9,0.0094
9,1.11,0.14,0.08,2768204.59,62802929.0,1457973.44,929107984.94,0.0067
10,1.11,0.14,0.09,2797624.47,62802929.0,1450698.47,928588068.64,0.0042
11,1.1,0.14,0.09,2823635.49,62802929.0,1444904.87,928270575.82,0.0034
12,1.1,0.15,0.09,2838820.68,62802929.0,1442016.69,928134974.65,0.0021
13,1.1,0.15,0.09,2855680.96,62802929.0,1439134.29,927994273.46,0.0022
14,1.1,0.15,0.09,2882735.08,62802929.0,1434821.48,927787157.79,0.0028
15,1.1,0.15,0.09,2892866.08,62802929.0,1433386.93,927724506.47,0.0015
16,1.09,0.15,0.09,2900908.19,62802929.0,1431953.83,927668101.94,0.0015
17,1.09,0.15,0.09,2915265.24,62802929.0,1427662.94,927522739.34,0.0028
18,1.08,0.17,0.09,2894231.43,62802929.0,1409202.31,927312839.06,0.0061
19,1.08,0.17,0.09,2902403.07,62802929.0,1407793.33,927259222.46,0.0015
20,1.07,0.17,0.09,2894916.5,62802929.0,1400768.16,927097559.98,0.0034
21,1.07,0.17,0.09,2894916.5,62802929.0,1400768.16,927097559.98,0.0008
