,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.18,0.0,0.0,0.0,164724233.0,4066320.0,3007074947.5,0.0
1,1.17,0.01,0.03,179381.67,164724233.0,4013773.85,2915545451.73,0.0227
2,1.16,0.02,0.05,325564.33,164724233.0,3965872.59,2847531547.08,0.0223
3,1.15,0.03,0.07,445939.43,164724233.0,3930322.18,2804068685.07,0.0195
4,1.14,0.04,0.08,521530.04,164724233.0,3902892.32,2778928120.37,0.0188
5,1.12,0.05,0.09,619197.74,164724233.0,3860174.53,2740709194.02,0.0223
6,1.12,0.06,0.09,666850.62,164724233.0,3840912.22,2727476910.15,0.0167
7,1.11,0.06,0.1,742052.43,164724233.0,3814106.35,2713447788.51,0.0174
8,1.11,0.07,0.1,778007.57,164724233.0,3798872.8,2705310048.13,0.0152
9,1.11,0.07,0.1,787637.6,164724233.0,3795073.93,2704108718.15,0.0142
10,1.11,0.07,0.1,787637.6,164724233.0,3795073.93,2704108718.15,0.013
