,0,1,2,3,4,5
0,3377.453,3441.156,3423.515,3426.768,3409.451,3375.367
1,3312.151,3389.842,3403.061,3394.601,3463.218,3412.074
2,3093.141,3432.518,3427.193,3471.201,3406.355,3489.264
3,2930.836,3506.593,3356.59,3450.73,3394.407,3480.618
4,2826.562,3398.197,3210.508,3411.393,3319.594,3414.828
5,2858.643,3404.587,3226.43,3452.693,3268.148,3301.944
6,2656.279,3392.965,3416.762,3467.83,3370.566,3399.643
7,2511.365,3631.133,3520.844,3350.33,3059.688,3554.995
8,2699.643,3507.558,3334.055,3367.468,3407.368,3313.893
9,2837.331,3239.918,3526.749,3554.428,3474.521,3290.434
10,2714.07,3485.994,3387.16,3364.906,3626.307,3586.809
11,2821.135,3301.634,3338.543,3302.355,3476.641,3307.339
12,3203.119,3267.905,3438.326,3349.34,3452.477,3282.034
13,3505.164,3509.005,3306.262,3354.312,3363.858,3452.372
14,3675.57,3442.377,3411.701,3303.68,3290.494,3441.307
15,3786.455,3378.776,3432.271,3355.049,3406.314,3353.4
16,3940.537,3543.469,3486.974,3536.325,3588.716,3430.674
17,3713.755,3398.711,3464.641,3395.686,3528.714,3398.19
18,3346.801,3380.746,3331.307,3427.815,3440.992,3471.405
19,3587.179,3352.691,3370.819,3388.073,3395.211,3453.606
20,3489.686,3352.215,3276.996,3332.9,3522.718,3449.667
21,3402.79,3452.467,3443.827,3327.331,3457.025,3412.029
22,3440.022,3419.56,3453.63,3334.485,3435.563,3277.697
23,3444.307,3355.248,3326.599,3369.647,3436.601,3357.711
24,3683.504,3324.277,3398.538,3320.672,3456.018,3462.893
25,3642.678,3472.054,3465.936,3444.936,3413.117,3426.533
26,3625.188,3519.126,3552.557,3488.231,3504.576,3519.37
27,3563.415,3513.001,3480.789,3307.598,3508.852,3448.054
28,3472.156,3541.265,3564.103,3323.437,3410.118,3504.992
29,3572.29,3505.636,3419.498,3375.696,3404.207,3406.327
30,3865.722,3480.814,3491.6,3450.882,3439.955,3369.446
31,3823.631,3383.626,3351.1,3451.813,3524.613,3352.318
32,3862.864,3453.747,3453.901,3506.356,3516.406,3378.435
33,3755.689,3443.042,3356.903,3456.269,3439.879,3449.748
34,3652.157,3529.638,3425.966,3379.398,3383.361,3519.518
35,3845.504,3507.57,3459.724,3428.201,3492.733,3503.691
36,3910.102,3540.265,3513.428,3508.464,3519.787,3554.979
37,3797.049,3428.893,3477.52,3395.175,3438.955,3334.257
38,3766.673,3401.62,3433.678,3461.557,3348.316,3434.666
39,3875.214,3467.887,3456.309,3550.375,3457.892,3500.334
40,3932.788,3564.26,3543.721,3630.738,3486.269,3559.097
41,3577.128,3396.794,3603.714,3431.352,3390.314,3382.092
42,3786.932,3364.554,3511.477,3350.955,3376.138,3416.517
43,3444.254,3335.261,3352.9,3511.54,3330.485,3376.309
44,3045.766,3274.234,3433.923,3562.951,3395.325,3476.282
45,3136.93,3272.975,3403.1,3440.941,3387.099,3495.549
46,3299.771,3338.075,3489.369,3562.925,3354.018,3385.066
47,3174.35,3241.87,3331.232,3455.941,3312.369,3321.976
