,0,1,2,3,4,5
0,3251.384,3402.766,3439.602,3437.074,3566.31,3415.433
1,3171.895,3452.025,3456.373,3436.569,3573.404,3324.132
2,3052.681,3344.866,3431.656,3489.186,3257.67,3472.134
3,3004.123,3450.643,3576.341,3567.981,3335.774,3633.342
4,2784.78,3149.197,3597.655,3490.306,3406.372,3355.604
5,2716.369,3281.204,3580.324,3357.537,3300.098,3385.334
6,2576.704,3408.958,3405.388,3495.447,3406.479,3543.495
7,2542.088,3447.994,3200.9,3444.109,3353.658,3259.272
8,2720.998,3485.499,3399.759,3460.52,3494.363,3416.518
9,2725.832,3634.419,3376.835,3640.941,3463.827,3461.143
10,2860.252,3525.127,3485.612,3590.309,3537.055,3541.245
11,3025.811,3632.621,3528.173,3465.59,3383.082,3408.64
12,3388.109,3532.433,3468.927,3324.009,3388.344,3352.426
13,3635.53,3379.021,3430.406,3396.577,3492.094,3404.647
14,3692.188,3352.55,3353.424,3321.847,3426.841,3329.92
15,3767.675,3445.607,3440.974,3474.665,3497.159,3411.771
16,3793.362,3425.105,3441.687,3339.254,3414.381,3387.447
17,4066.32,3581.809,3652.783,3617.753,3585.635,3578.705
18,3936.477,3458.752,3506.529,3465.487,3493.112,3508.124
19,3614.556,3385.512,3472.73,3417.791,3374.182,3430.116
20,3517.101,3394.19,3417.893,3439.477,3464.577,3435.069
21,3407.914,3436.535,3301.627,3512.254,3492.465,3352.711
22,3432.35,3409.891,3262.289,3497.852,3414.718,3315.502
23,3678.624,3456.512,3371.39,3399.337,3421.468,3345.489
24,3694.401,3548.035,3419.275,3346.791,3482.461,3452.919
25,3450.599,3390.281,3378.022,3394.81,3461.562,3402.807
26,3530.697,3346.906,3366.944,3296.047,3401.445,3410.49
27,3689.043,3455.504,3428.104,3421.439,3391.563,3439.764
28,3670.246,3525.782,3424.488,3384.119,3367.587,3489.601
29,3536.447,3408.226,3384.42,3299.357,3321.839,3483.907
30,3328.075,3163.909,3363.856,3202.471,3435.821,3410.311
31,3499.687,3209.475,3431.564,3307.38,3430.987,3363.941
32,3766.63,3339.967,3474.801,3417.476,3421.488,3411.767
33,3941.433,3450.957,3547.161,3606.165,3512.93,3443.915
34,3898.911,3491.21,3413.704,3463.534,3417.259,3477.888
35,3868.052,3436.484,3349.596,3380.111,3433.218,3431.426
36,4004.722,3570.011,3495.315,3547.977,3545.026,3466.389
37,3998.55,3596.634,3478.85,3453.077,3601.402,3447.601
38,3923.559,3441.408,3389.765,3496.767,3531.603,3515.721
39,3689.342,3439.785,3343.676,3434.246,3429.305,3468.764
40,3563.078,3357.562,3416.829,3388.044,3340.915,3441.6
41,3485.448,3395.472,3545.222,3382.074,3430.485,3488.911
42,3367.103,3380.693,3461.766,3358.307,3464.534,3405.465
43,3669.146,3301.772,3425.551,3349.932,3255.325,3304.22
44,3361.586,3448.299,3467.148,3539.184,3396.766,3421.355
45,3078.274,3612.846,3431.281,3411.293,3304.815,3715.206
46,3338.084,3491.549,3298.199,3394.619,3459.851,3415.417
47,3007.997,3448.23,3389.419,3367.141,3342.978,3346.629
