,0,1,2,3,4,5
0,3204.662,3158.874,3035.64,3082.536,3094.872,2996.187
1,2870.018,3916.82,3463.161,3530.483,3450.514,3666.484
2,2707.305,3179.833,3102.255,3008.945,3134.69,3192.102
3,2621.269,2958.023,3143.058,3306.693,3414.271,3469.367
4,2548.215,3430.824,3267.341,3505.796,3660.287,3646.549
5,2735.547,3606.09,3460.756,3533.817,3603.898,3546.819
6,2718.396,3062.633,3148.449,3070.888,3186.717,3067.389
7,2580.965,3434.662,3639.623,3393.248,3646.226,3776.021
8,2478.679,3101.671,3177.291,3066.096,3227.677,3257.062
9,2693.348,3493.894,3255.29,3478.033,3481.452,3415.893
10,2699.436,3329.354,3481.215,3311.614,3428.255,3406.329
11,2961.041,3382.454,3490.12,3303.949,3558.609,3506.783
12,3274.346,3371.495,3352.173,3180.76,3437.511,3397.141
13,3557.668,3428.337,3422.295,3262.534,3301.495,3257.96
14,3667.568,3279.003,3310.606,3243.147,3227.282,3235.512
15,3781.783,3314.283,3332.307,3294.576,3312.968,3377.101
16,3687.502,3583.041,3439.947,3459.811,3514.392,3523.487
17,3449.113,3111.7,3125.718,3101.609,3128.531,3139.285
18,3807.557,3332.502,3318.691,3332.502,3422.283,3306.701
19,3653.761,3592.284,3619.691,3462.092,3553.805,3476.776
20,3417.312,3252.051,3328.562,3191.075,3239.544,3134.347
21,3441.019,3243.516,3295.453,3276.559,3296.551,3255.08
22,3159.16,3617.032,3501.902,3390.031,3504.629,3367.627
23,3267.197,3235.356,3199.05,3065.304,3113.102,3058.32
24,3431.213,3383.79,3425.139,3342.714,3346.627,3479.045
25,3257.044,3371.878,3494.409,3433.093,3391.63,3454.815
26,3417.37,3179.791,3226.953,3238.87,3306.133,3166.224
27,3732.373,3185.584,3374.053,3334.697,3347.924,3240.989
28,3793.504,3282.289,3282.262,3436.393,3311.058,3422.237
29,3792.851,3407.905,3386.481,3426.612,3288.111,3417.679
30,3632.231,3219.096,3319.39,3263.127,3248.29,3223.738
31,3636.987,3167.986,3233.285,3229.368,3192.508,3035.273
32,3928.61,3379.869,3449.736,3511.366,3332.932,3276.356
33,3719.361,3205.581,3223.219,3332.963,3196.941,3219.893
34,3763.484,3222.952,3326.439,3382.247,3293.715,3267.987
35,3908.271,3414.802,3465.854,3510.664,3315.311,3388.971
36,4125.837,3578.546,3639.053,3772.768,3552.385,3595.867
37,4167.285,3617.201,3684.173,3747.835,3680.89,3594.841
38,3857.395,3411.392,3372.108,3437.599,3367.765,3429.399
39,3648.35,3641.064,3644.954,3728.626,3449.141,3639.133
40,3138.619,3265.071,3295.288,3388.363,3224.08,3206.582
41,3327.369,3214.8,3335.046,3278.089,3336.507,3279.899
42,3515.069,3418.115,3498.882,3419.956,3454.958,3577.644
43,3351.444,3192.732,3121.149,3126.296,3137.899,3108.36
44,3043.386,3522.561,3205.954,3457.481,3316.048,3378.434
45,2935.332,3282.011,3095.646,3252.05,3137.899,3218.81
46,3292.143,3458.754,3388.576,3517.625,3258.877,3378.029
47,3343.998,3302.891,3343.75,3321.493,3315.203,3265.866
