,0,1,2,3,4,5,6,7
0,20.3,17.8,17.8,18.9,18.9,17.8,17.8,17.8
1,17.0,17.0,31.3,27.5,24.5,24.5,24.5,24.5
2,17.8,17.0,61.6,61.6,61.6,61.6,75.2,75.2
3,15.4,15.4,17.8,17.0,17.0,17.0,17.8,17.8
4,15.1,22.1,20.3,20.3,18.9,18.9,18.9,18.9
5,14.8,92.8,75.2,61.6,61.6,61.6,61.6,61.6
6,14.8,17.8,20.3,36.3,36.3,61.6,61.6,61.6
7,15.4,15.1,15.1,17.8,17.0,22.1,22.1,22.1
8,15.4,20.3,20.3,18.9,17.8,18.9,18.9,18.9
9,14.8,17.8,75.2,61.6,50.9,50.9,50.9,50.9
10,15.4,15.1,31.3,27.5,42.7,42.7,42.7,42.7
11,18.9,17.8,17.0,17.0,18.9,18.9,18.9,18.9
12,27.5,24.5,22.1,22.1,20.3,20.3,20.3,20.3
13,42.7,36.3,31.3,27.5,27.5,24.5,24.5,24.5
14,61.6,50.9,42.7,36.3,36.3,36.3,36.3,36.3
15,61.6,61.6,50.9,36.3,36.3,36.3,36.3,36.3
16,92.8,75.2,61.6,50.9,50.9,50.9,50.9,50.9
17,75.2,61.6,50.9,42.7,36.3,36.3,36.3,36.3
18,115.5,92.8,61.6,50.9,50.9,50.9,50.9,50.9
19,50.9,36.3,31.3,31.3,27.5,27.5,27.5,27.5
20,27.5,24.5,22.1,22.1,20.3,20.3,20.3,20.3
21,50.9,42.7,36.3,31.3,31.3,31.3,31.3,31.3
22,36.3,31.3,27.5,24.5,50.9,50.9,50.9,50.9
23,22.1,20.3,18.9,17.8,50.9,50.9,50.9,50.9
24,22.1,20.3,18.9,17.8,20.3,20.3,20.3,20.3
25,42.7,36.3,31.3,27.5,24.5,24.5,24.5,24.5
26,50.9,42.7,36.3,31.3,31.3,31.3,31.3,31.3
27,42.7,36.3,31.3,27.5,27.5,24.5,24.5,24.5
28,92.8,61.6,50.9,50.9,42.7,36.3,36.3,36.3
29,115.5,92.8,75.2,61.6,61.6,50.9,50.9,50.9
30,92.8,61.6,50.9,50.9,42.7,42.7,42.7,42.7
31,36.3,31.3,27.5,24.5,24.5,24.5,24.5,24.5
32,92.8,61.6,50.9,50.9,42.7,42.7,42.7,42.7
33,92.8,75.2,61.6,50.9,50.9,42.7,42.7,42.7
34,92.8,75.2,61.6,50.9,50.9,50.9,50.9,50.9
35,230.4,144.6,115.5,115.5,92.8,92.8,92.8,92.8
36,230.4,182.1,144.6,115.5,115.5,115.5,92.8,92.8
37,230.4,144.6,115.5,92.8,92.8,92.8,92.8,92.8
38,230.4,182.1,144.6,115.5,115.5,92.8,92.8,92.8
39,144.6,115.5,92.8,75.2,61.6,61.6,61.6,61.6
40,115.5,92.8,61.6,61.6,50.9,50.9,50.9,50.9
41,92.8,75.2,61.6,50.9,50.9,42.7,42.7,42.7
42,50.9,36.3,31.3,31.3,27.5,27.5,27.5,27.5
43,36.3,36.3,31.3,27.5,24.5,24.5,24.5,24.5
44,24.5,22.1,20.3,20.3,18.9,18.9,18.9,18.9
45,31.3,24.5,22.1,22.1,22.1,22.1,20.3,20.3
46,27.5,24.5,24.5,75.2,61.6,61.6,61.6,61.6
47,15.8,15.8,15.4,24.5,24.5,24.5,24.5,24.5
