,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time
0,1.21,0.0,0.0,0.0,161073704.0,4058065.0,2917815971.4,0.0
1,1.18,0.03,0.06,313591.53,161073704.0,3950371.65,2752237277.58,0.0248
2,1.15,0.05,0.09,547736.6,161073704.0,3873289.7,2662423010.03,0.0188
3,1.14,0.06,0.11,746762.1,161073704.0,3809650.77,2607435713.48,0.0149
4,1.12,0.07,0.12,848330.31,161073704.0,3755171.59,2574514228.18,0.0142
5,1.11,0.08,0.12,923009.54,161073704.0,3714066.9,2554586890.85,0.0099
6,1.1,0.09,0.13,1004332.77,161073704.0,3677092.92,2540102484.65,0.0098
7,1.09,0.1,0.13,1073533.68,161073704.0,3647832.43,2528858281.83,0.0081
8,1.08,0.11,0.14,1114783.41,161073704.0,3626000.08,2522871561.83,0.0064
9,1.08,0.11,0.14,1143978.29,161073704.0,3607906.31,2518720608.9,0.0055
10,1.07,0.11,0.14,1161231.61,161073704.0,3597093.41,2516239404.16,0.0037
11,1.07,0.12,0.14,1180488.99,161073704.0,3582726.6,2513831395.97,0.0047
12,1.06,0.12,0.14,1207033.59,161073704.0,3571989.17,2512125770.14,0.0038
13,1.06,0.12,0.14,1229662.98,161073704.0,3557722.63,2510013375.94,0.0047
14,1.05,0.13,0.14,1242768.59,161073704.0,3539966.03,2508030458.52,0.0047
15,1.05,0.13,0.14,1258807.43,161073704.0,3529772.13,2506926108.52,0.0038
16,1.05,0.13,0.14,1262488.94,161073704.0,3526242.36,2506425693.64,0.0021
17,1.05,0.13,0.14,1267766.34,161073704.0,3522716.12,2505982567.16,0.002
18,1.05,0.13,0.14,1267766.34,161073704.0,3522716.12,2505982567.16,0.0011
