,0,1,2,3,4,5
0,42.7,36.3,31.3,27.5,27.5,27.5
1,20.3,20.3,17.8,17.8,17.8,17.8
2,17.0,20.3,18.9,36.3,36.3,36.3
3,14.8,15.8,15.8,42.7,42.7,42.7
4,15.4,15.8,15.8,17.8,17.8,17.8
5,15.1,75.2,61.6,50.9,50.9,50.9
6,14.8,61.6,115.5,92.8,92.8,92.8
7,15.1,15.4,27.5,24.5,24.5,24.5
8,15.8,15.4,61.6,50.9,50.9,50.9
9,15.8,15.4,20.3,61.6,61.6,61.6
10,15.8,15.8,15.4,24.5,27.5,27.5
11,18.9,17.8,17.0,17.0,17.8,17.8
12,31.3,27.5,24.5,22.1,22.1,22.1
13,75.2,61.6,50.9,42.7,36.3,36.3
14,50.9,50.9,36.3,31.3,31.3,31.3
15,61.6,61.6,50.9,36.3,36.3,36.3
16,92.8,75.2,61.6,50.9,50.9,50.9
17,42.7,36.3,31.3,31.3,27.5,27.5
18,92.8,61.6,50.9,42.7,42.7,42.7
19,144.6,115.5,92.8,75.2,61.6,61.6
20,61.6,50.9,42.7,36.3,36.3,36.3
21,50.9,50.9,36.3,31.3,31.3,31.3
22,92.8,75.2,61.6,50.9,50.9,50.9
23,36.3,31.3,27.5,24.5,24.5,24.5
24,42.7,36.3,31.3,27.5,24.5,24.5
25,24.5,24.5,22.1,20.3,20.3,20.3
26,31.3,27.5,24.5,22.1,22.1,22.1
27,42.7,36.3,31.3,27.5,24.5,24.5
28,42.7,36.3,31.3,27.5,24.5,24.5
29,31.3,27.5,24.5,22.1,22.1,22.1
30,31.3,24.5,24.5,22.1,22.1,22.1
31,50.9,36.3,36.3,31.3,27.5,27.5
32,50.9,42.7,36.3,31.3,31.3,31.3
33,36.3,31.3,31.3,24.5,24.5,24.5
34,50.9,42.7,36.3,31.3,31.3,31.3
35,115.5,92.8,75.2,61.6,61.6,61.6
36,230.4,230.4,144.6,115.5,115.5,115.5
37,230.4,144.6,115.5,92.8,92.8,92.8
38,92.8,75.2,61.6,50.9,50.9,50.9
39,182.1,144.6,115.5,92.8,92.8,92.8
40,182.1,144.6,115.5,92.8,92.8,92.8
41,144.6,115.5,92.8,75.2,61.6,61.6
42,92.8,75.2,61.6,50.9,50.9,50.9
43,36.3,31.3,27.5,24.5,31.3,31.3
44,22.1,22.1,20.3,18.9,27.5,27.5
45,20.3,20.3,18.9,17.8,18.9,18.9
46,22.1,20.3,31.3,61.6,92.8,92.8
47,15.8,15.4,15.4,15.8,15.8,15.8
