,0,1,2,3,4,5
0,3181.463,3238.998,3343.123,3337.583,3343.792,3326.174
1,3203.076,3322.927,3354.973,3428.439,3400.046,3280.0
2,3063.373,3233.034,3392.821,3501.957,3231.041,3237.665
3,2935.897,3161.694,3302.08,3286.344,3186.466,3090.45
4,2770.371,3366.662,3332.616,3376.393,3432.49,3275.3
5,2757.012,3472.61,3298.22,3303.594,3393.446,3356.516
6,2721.129,3334.588,3429.326,3324.128,3335.717,3465.585
7,2553.728,3200.399,3347.145,3319.796,3291.05,3441.067
8,2486.928,3318.489,3304.474,3249.923,3418.435,3326.189
9,2526.354,3182.623,3173.222,3317.709,3505.697,3243.761
10,2624.644,3126.381,3337.441,3230.278,3581.377,3193.593
11,2901.458,3331.637,3434.201,3231.544,3402.168,3453.127
12,3031.294,3430.195,3337.179,3435.641,3327.107,3409.694
13,3320.672,3407.491,3393.121,3440.628,3350.137,3486.263
14,3439.978,3372.9,3526.112,3484.237,3368.301,3488.369
15,3698.258,3282.323,3358.654,3515.996,3384.715,3288.652
16,3561.903,3232.854,3327.436,3471.176,3436.713,3320.765
17,3539.067,3267.12,3340.196,3302.463,3347.008,3317.464
18,3557.072,3365.628,3350.707,3305.793,3378.722,3378.565
19,3567.833,3332.087,3400.779,3236.518,3312.244,3297.532
20,3595.526,3369.202,3421.146,3418.819,3315.938,3379.781
21,3612.209,3337.871,3500.695,3407.085,3387.551,3421.12
22,3435.212,3348.573,3584.803,3451.845,3257.474,3522.809
23,3185.898,3339.653,3283.979,3307.521,3261.0,3214.319
24,3252.215,3397.16,3313.096,3319.597,3243.955,3365.469
25,3378.645,3403.227,3169.998,3475.892,3193.722,3345.888
26,3440.556,3483.891,3295.514,3402.533,3320.312,3315.705
27,3565.018,3478.284,3266.193,3333.869,3499.339,3350.014
28,3434.968,3475.176,3408.174,3335.548,3395.248,3414.588
29,3605.583,3371.913,3411.767,3474.529,3390.033,3376.159
30,3763.493,3434.569,3468.004,3417.596,3294.089,3362.349
31,3954.182,3375.635,3398.117,3407.532,3346.2,3411.06
32,3838.039,3402.051,3429.089,3365.722,3358.923,3401.705
33,4037.331,3531.039,3468.662,3364.024,3478.079,3500.287
34,4029.15,3559.105,3359.927,3334.998,3438.24,3510.962
35,3920.451,3331.801,3385.155,3404.359,3379.646,3376.574
36,3985.148,3440.393,3391.033,3420.507,3393.345,3496.853
37,3806.345,3386.996,3311.888,3358.151,3354.479,3434.591
38,3681.065,3463.854,3355.15,3347.688,3466.762,3485.838
39,3604.988,3444.742,3372.038,3387.77,3495.045,3359.3
40,3636.319,3438.988,3278.228,3438.511,3569.969,3362.34
41,3777.45,3344.818,3303.118,3381.819,3490.725,3371.074
42,3562.353,3391.944,3467.843,3353.77,3371.766,3330.305
43,3470.583,3351.996,3435.371,3236.337,3292.411,3393.185
44,3261.224,3232.881,3264.224,3302.766,3273.852,3417.932
45,3184.108,3427.154,3325.362,3259.294,3160.756,3305.827
46,3259.288,3561.475,3465.406,3411.291,3356.092,3361.874
47,2880.667,3494.493,3381.718,3380.011,3387.901,3334.885
