,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,20.3,18.9,17.8,17.8,17.8,20.3,20.3,20.3,18.9,20.3,20.3,24.5,24.5,24.5,24.5,24.5,24.5,24.5,22.1,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
1,18.9,17.8,17.8,17.8,17.8,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
2,17.8,17.0,17.0,27.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
3,15.8,15.8,15.8,42.7,36.3,36.3,31.3,31.3,31.3,27.5,27.5,27.5,24.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
4,14.8,24.5,24.5,22.1,22.1,20.3,20.3,20.3,22.1,20.3,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
5,14.8,42.7,36.3,36.3,31.3,31.3,27.5,27.5,27.5,24.5,31.3,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
6,15.4,15.8,15.8,31.3,27.5,27.5,24.5,24.5,24.5,22.1,24.5,22.1,22.1,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
7,14.8,50.9,42.7,36.3,31.3,31.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,22.1,24.5,24.5,24.5,24.5,24.5
8,15.1,17.0,17.0,16.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
9,15.8,16.3,22.1,20.3,22.1,20.3,20.3,20.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
10,15.8,15.8,50.9,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
11,17.0,17.0,17.0,20.3,20.3,18.9,22.1,22.1,20.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
12,17.8,17.0,17.8,17.8,17.8,20.3,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,22.1,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
13,24.5,22.1,22.1,20.3,20.3,18.9,31.3,31.3,31.3,31.3,27.5,27.5,27.5,24.5,24.5,24.5,24.5,27.5,24.5,24.5,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
14,61.6,50.9,42.7,36.3,31.3,31.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,22.1,27.5,27.5,27.5,24.5,27.5,27.5,24.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
15,50.9,42.7,36.3,31.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5,22.1,24.5,24.5,24.5,24.5,24.5,24.5,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
16,50.9,36.3,36.3,31.3,27.5,27.5,24.5,24.5,24.5,22.1,24.5,22.1,27.5,27.5,24.5,24.5,24.5,24.5,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
17,36.3,31.3,31.3,27.5,24.5,24.5,24.5,22.1,22.1,22.1,24.5,22.1,27.5,27.5,27.5,27.5,24.5,24.5,24.5,24.5,27.5,27.5,24.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
18,42.7,36.3,31.3,31.3,27.5,24.5,24.5,24.5,22.1,24.5,24.5,24.5,24.5,24.5,22.1,27.5,24.5,24.5,24.5,24.5,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
19,36.3,31.3,31.3,24.5,24.5,24.5,22.1,22.1,22.1,24.5,24.5,24.5,24.5,24.5,22.1,27.5,24.5,24.5,24.5,24.5,24.5,24.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,27.5,27.5
20,31.3,27.5,24.5,22.1,22.1,22.1,20.3,24.5,22.1,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
21,24.5,24.5,22.1,20.3,20.3,20.3,18.9,31.3,27.5,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,27.5,27.5,27.5
22,42.7,36.3,31.3,27.5,24.5,24.5,24.5,24.5,22.1,22.1,22.1,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,27.5,24.5,24.5,27.5,27.5,24.5,24.5,24.5
23,50.9,36.3,36.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5,22.1,31.3,27.5,27.5,27.5,27.5,24.5,24.5,27.5,27.5,24.5,24.5,27.5,24.5,24.5,27.5,24.5,24.5,27.5,24.5,24.5
24,42.7,36.3,31.3,31.3,27.5,24.5,24.5,24.5,22.1,22.1,22.1,24.5,24.5,24.5,24.5,22.1,24.5,24.5,24.5,24.5,27.5,27.5,24.5,24.5,24.5,27.5,27.5,27.5,27.5,27.5,27.5
25,36.3,31.3,31.3,24.5,24.5,22.1,22.1,22.1,31.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,27.5,27.5,27.5,27.5,27.5,27.5
26,36.3,31.3,31.3,27.5,24.5,24.5,24.5,22.1,31.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5,24.5,24.5,27.5,27.5,24.5,24.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
27,22.1,20.3,20.3,17.8,18.9,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
28,22.1,20.3,20.3,18.9,17.8,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5,24.5,24.5,27.5,27.5,27.5,27.5,24.5,27.5,24.5,27.5,27.5
29,24.5,22.1,20.3,20.3,18.9,22.1,22.1,22.1,22.1,22.1,22.1,22.1,24.5,24.5,22.1,24.5,24.5,24.5,24.5,24.5,24.5,24.5,27.5,24.5,27.5,24.5,24.5,27.5,24.5,27.5,27.5
30,36.3,31.3,27.5,24.5,24.5,22.1,22.1,22.1,24.5,22.1,24.5,24.5,24.5,27.5,27.5,24.5,24.5,24.5,31.3,27.5,27.5,27.5,24.5,27.5,24.5,27.5,24.5,27.5,27.5,27.5,27.5
31,50.9,36.3,36.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5,24.5,22.1,22.1,31.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,24.5,27.5,27.5,27.5,27.5,24.5,27.5,27.5,27.5
32,75.2,50.9,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,27.5,27.5,27.5,27.5,27.5,24.5,24.5,24.5
33,50.9,36.3,36.3,31.3,31.3,27.5,27.5,24.5,24.5,24.5,24.5,22.1,24.5,22.1,27.5,27.5,27.5,27.5,24.5,24.5,31.3,31.3,27.5,27.5,27.5,24.5,24.5,24.5,24.5,27.5,27.5
34,61.6,50.9,42.7,36.3,31.3,31.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,31.3,31.3,27.5,27.5,27.5,27.5,27.5,27.5,24.5,27.5,27.5
35,92.8,75.2,61.6,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,24.5,24.5,24.5,27.5,24.5,27.5,27.5,27.5,24.5,27.5,27.5
36,115.5,92.8,75.2,61.6,50.9,50.9,50.9,42.7,36.3,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,24.5,27.5,27.5,24.5,24.5,27.5,24.5,24.5
37,115.5,92.8,92.8,61.6,61.6,50.9,50.9,50.9,42.7,42.7,36.3,36.3,36.3,36.3,36.3,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
38,230.4,182.1,144.6,144.6,115.5,92.8,92.8,92.8,75.2,75.2,75.2,61.6,61.6,61.6,61.6,61.6,61.6,61.6,50.9,50.9,50.9,50.9,50.9,42.7,42.7,42.7,42.7,42.7,42.7,36.3,36.3
39,92.8,61.6,61.6,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5,24.5,24.5,27.5,27.5,24.5,27.5,27.5,27.5,27.5,24.5,27.5,24.5,24.5
40,92.8,61.6,61.6,50.9,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,27.5,27.5,27.5,27.5,24.5,24.5,24.5,27.5,27.5,24.5,24.5,27.5,24.5,27.5,27.5
41,36.3,31.3,27.5,24.5,24.5,22.1,22.1,22.1,24.5,24.5,24.5,22.1,24.5,24.5,22.1,24.5,24.5,24.5,27.5,27.5,27.5,27.5,24.5,27.5,27.5,27.5,24.5,27.5,24.5,24.5,24.5
42,31.3,24.5,24.5,22.1,22.1,20.3,22.1,22.1,24.5,24.5,22.1,27.5,27.5,24.5,24.5,24.5,24.5,24.5,27.5,27.5,27.5,27.5,24.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
43,27.5,24.5,24.5,22.1,22.1,20.3,22.1,22.1,24.5,24.5,22.1,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,27.5,27.5,27.5,24.5,27.5,27.5,24.5,24.5,27.5,27.5,27.5
