,,,,Value,Value,Value
,,,,min,median,max
#Households,Repeat,Demand Profile,Result,,,
50.0,0.0,Preferred,PAR,1.79,1.79,1.79
50.0,0.0,Preferred,Demand Reduction,0.0,0.0,0.0
50.0,0.0,Preferred,Cost Reduction,0.0,0.0,0.0
50.0,0.0,Optimised,PAR,1.02,1.02,1.02
50.0,0.0,Optimised,Demand Reduction,0.43,0.43,0.43
50.0,0.0,Optimised,Cost Reduction,0.11,0.11,0.11
50.0,0.0,Actual,PAR,1.72,1.99,2.55
50.0,0.0,Actual,PAR Distance,0.7,0.97,1.5299999999999998
50.0,0.0,Actual,Demand Reduction,-0.43,-0.12,0.04
50.0,0.0,Actual,Demand Reduction Distance,0.39,0.55,0.86
50.0,0.0,Actual,Cost Reduction,-4.53,-0.77,0.06
50.0,0.0,Actual,Cost Reduction Distance,0.05,0.88,4.640000000000001
100.0,0.0,Preferred,PAR,1.96,1.96,1.96
100.0,0.0,Preferred,Demand Reduction,0.0,0.0,0.0
100.0,0.0,Preferred,Cost Reduction,0.0,0.0,0.0
100.0,0.0,Optimised,PAR,1.03,1.03,1.03
100.0,0.0,Optimised,Demand Reduction,0.47,0.47,0.47
100.0,0.0,Optimised,Cost Reduction,0.06,0.06,0.06
100.0,0.0,Actual,PAR,1.4,1.82,2.07
100.0,0.0,Actual,PAR Distance,0.3699999999999999,0.79,1.0399999999999998
100.0,0.0,Actual,Demand Reduction,-0.06,0.07,0.28
100.0,0.0,Actual,Demand Reduction Distance,0.18999999999999995,0.39999999999999997,0.53
100.0,0.0,Actual,Cost Reduction,-0.33,0.04,0.06
100.0,0.0,Actual,Cost Reduction Distance,0.0,0.019999999999999997,0.39
500.0,0.0,Preferred,PAR,1.31,1.31,1.31
500.0,0.0,Preferred,Demand Reduction,0.0,0.0,0.0
500.0,0.0,Preferred,Cost Reduction,0.0,0.0,0.0
500.0,0.0,Optimised,PAR,1.06,1.06,1.06
500.0,0.0,Optimised,Demand Reduction,0.19,0.19,0.19
500.0,0.0,Optimised,Cost Reduction,0.12,0.12,0.12
500.0,0.0,Actual,PAR,1.21,1.25,1.32
500.0,0.0,Actual,PAR Distance,0.1499999999999999,0.18999999999999995,0.26
500.0,0.0,Actual,Demand Reduction,-0.01,0.05,0.07
500.0,0.0,Actual,Demand Reduction Distance,0.12,0.14,0.2
500.0,0.0,Actual,Cost Reduction,0.05,0.06,0.09
500.0,0.0,Actual,Cost Reduction Distance,0.03,0.06,0.06999999999999999
1000.0,0.0,Preferred,PAR,1.36,1.36,1.36
1000.0,0.0,Preferred,Demand Reduction,0.0,0.0,0.0
1000.0,0.0,Preferred,Cost Reduction,0.0,0.0,0.0
1000.0,0.0,Optimised,PAR,1.11,1.11,1.11
1000.0,0.0,Optimised,Demand Reduction,0.18,0.18,0.18
1000.0,0.0,Optimised,Cost Reduction,0.07,0.07,0.07
1000.0,0.0,Actual,PAR,1.18,1.19,1.22
1000.0,0.0,Actual,PAR Distance,0.06999999999999984,0.07999999999999985,0.10999999999999988
1000.0,0.0,Actual,Demand Reduction,0.1,0.12,0.13
1000.0,0.0,Actual,Demand Reduction Distance,0.04999999999999999,0.06,0.07999999999999999
1000.0,0.0,Actual,Cost Reduction,0.06,0.06,0.07
1000.0,0.0,Actual,Cost Reduction Distance,0.0,0.010000000000000009,0.010000000000000009
2000.0,0.0,Preferred,PAR,1.26,1.26,1.26
2000.0,0.0,Preferred,Demand Reduction,0.0,0.0,0.0
2000.0,0.0,Preferred,Cost Reduction,0.0,0.0,0.0
2000.0,0.0,Optimised,PAR,1.1,1.1,1.1
2000.0,0.0,Optimised,Demand Reduction,0.13,0.13,0.13
2000.0,0.0,Optimised,Cost Reduction,0.09,0.09,0.09
2000.0,0.0,Actual,PAR,1.1,1.12,1.14
2000.0,0.0,Actual,PAR Distance,0.0,0.020000000000000018,0.039999999999999813
2000.0,0.0,Actual,Demand Reduction,0.1,0.11,0.12
2000.0,0.0,Actual,Demand Reduction Distance,0.010000000000000009,0.020000000000000004,0.03
2000.0,0.0,Actual,Cost Reduction,0.07,0.08,0.08
2000.0,0.0,Actual,Cost Reduction Distance,0.009999999999999995,0.009999999999999995,0.01999999999999999
4000.0,0.0,Preferred,PAR,1.18,1.18,1.18
4000.0,0.0,Preferred,Demand Reduction,0.0,0.0,0.0
4000.0,0.0,Preferred,Cost Reduction,0.0,0.0,0.0
4000.0,0.0,Optimised,PAR,1.03,1.03,1.03
4000.0,0.0,Optimised,Demand Reduction,0.13,0.13,0.13
4000.0,0.0,Optimised,Cost Reduction,0.14,0.14,0.14
4000.0,0.0,Actual,PAR,1.05,1.06,1.07
4000.0,0.0,Actual,PAR Distance,0.020000000000000018,0.030000000000000027,0.040000000000000036
4000.0,0.0,Actual,Demand Reduction,0.09,0.11,0.11
4000.0,0.0,Actual,Demand Reduction Distance,0.020000000000000004,0.020000000000000004,0.04000000000000001
4000.0,0.0,Actual,Cost Reduction,0.13,0.13,0.14
4000.0,0.0,Actual,Cost Reduction Distance,0.0,0.010000000000000009,0.010000000000000009
6000.0,0.0,Preferred,PAR,1.21,1.21,1.21
6000.0,0.0,Preferred,Demand Reduction,0.0,0.0,0.0
6000.0,0.0,Preferred,Cost Reduction,0.0,0.0,0.0
6000.0,0.0,Optimised,PAR,1.06,1.06,1.06
6000.0,0.0,Optimised,Demand Reduction,0.12,0.12,0.12
6000.0,0.0,Optimised,Cost Reduction,0.09,0.09,0.09
6000.0,0.0,Actual,PAR,1.05,1.06,1.07
6000.0,0.0,Actual,PAR Distance,0.0,0.010000000000000009,0.010000000000000009
6000.0,0.0,Actual,Demand Reduction,0.12,0.13,0.14
6000.0,0.0,Actual,Demand Reduction Distance,0.0,0.010000000000000009,0.020000000000000018
6000.0,0.0,Actual,Cost Reduction,0.09,0.09,0.09
6000.0,0.0,Actual,Cost Reduction Distance,0.0,0.0,0.0
8000.0,0.0,Preferred,PAR,1.21,1.21,1.21
8000.0,0.0,Preferred,Demand Reduction,0.0,0.0,0.0
8000.0,0.0,Preferred,Cost Reduction,0.0,0.0,0.0
8000.0,0.0,Optimised,PAR,1.08,1.08,1.08
8000.0,0.0,Optimised,Demand Reduction,0.1,0.1,0.1
8000.0,0.0,Optimised,Cost Reduction,0.09,0.09,0.09
8000.0,0.0,Actual,PAR,1.07,1.09,1.11
8000.0,0.0,Actual,PAR Distance,0.010000000000000009,0.010000000000000009,0.030000000000000027
8000.0,0.0,Actual,Demand Reduction,0.08,0.1,0.11
8000.0,0.0,Actual,Demand Reduction Distance,0.0,0.009999999999999995,0.020000000000000004
8000.0,0.0,Actual,Cost Reduction,0.09,0.09,0.09
8000.0,0.0,Actual,Cost Reduction Distance,0.0,0.0,0.0
10000.0,0.0,Preferred,PAR,1.16,1.16,1.16
10000.0,0.0,Preferred,Demand Reduction,0.0,0.0,0.0
10000.0,0.0,Preferred,Cost Reduction,0.0,0.0,0.0
10000.0,0.0,Optimised,PAR,1.04,1.04,1.04
10000.0,0.0,Optimised,Demand Reduction,0.1,0.1,0.1
10000.0,0.0,Optimised,Cost Reduction,0.13,0.13,0.13
10000.0,0.0,Actual,PAR,1.03,1.05,1.06
10000.0,0.0,Actual,PAR Distance,0.0,0.010000000000000009,0.020000000000000018
