,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,objective
0,1.2,0.0,0.0,0.0,324134658.0,8077931.0,5826550406.8,0.0,5826550406.8
1,1.18,0.01,0.03,1542532.66,324134658.0,7956901.17,5637850531.78,0.019,5639393064.44
2,1.16,0.03,0.06,2739215.82,324134658.0,7859698.4,5496284213.22,0.0152,5499023429.04
3,1.15,0.04,0.07,3897960.77,324134658.0,7770449.93,5394661005.54,0.0142,5398558966.31
4,1.14,0.05,0.08,4628519.45,324134658.0,7698298.72,5332470323.1,0.0107,5337098842.55
5,1.13,0.06,0.09,5377447.11,324134658.0,7625090.47,5281060122.19,0.0114,5286437569.299999
6,1.12,0.06,0.1,6054486.01,324134658.0,7563243.14,5243413101.78,0.0113,5249467587.79
7,1.11,0.07,0.1,6585548.82,324134658.0,7512499.99,5216858178.73,0.0088,5223443727.549999
8,1.1,0.08,0.11,6845319.98,324134658.0,7427480.69,5180077755.37,0.0147,5186923075.349999
9,1.09,0.09,0.11,7032898.54,324134658.0,7377832.62,5161191828.49,0.0071,5168224727.03
10,1.09,0.09,0.12,7274599.0,324134658.0,7343622.17,5149163429.24,0.0099,5156438028.24
11,1.08,0.1,0.12,7434505.46,324134658.0,7310180.8,5138526124.25,0.0063,5145960629.71
12,1.08,0.1,0.12,7554011.35,324134658.0,7290115.15,5133201195.32,0.0046,5140755206.67
13,1.08,0.1,0.12,7638050.16,324134658.0,7265363.95,5127533396.92,0.0057,5135171447.08
14,1.07,0.1,0.12,7740924.23,324134658.0,7245710.86,5123556526.94,0.0046,5131297451.169999
15,1.07,0.1,0.12,7853240.41,324134658.0,7231285.08,5120812986.72,0.004,5128666227.13
16,1.07,0.11,0.12,7964250.51,324134658.0,7217608.8,5118537398.67,0.0035,5126501649.18
17,1.07,0.11,0.12,8082980.62,324134658.0,7204066.42,5116808449.73,0.0036,5124891430.349999
18,1.06,0.11,0.12,8234234.86,324134658.0,7188336.92,5114190638.24,0.003,5122424873.099999
19,1.06,0.12,0.12,8316474.28,324134658.0,7141149.44,5108728836.16,0.0085,5117045310.44
20,1.05,0.12,0.12,8384276.56,324134658.0,7113708.26,5105952104.59,0.0058,5114336381.150001
21,1.05,0.12,0.12,8428356.51,324134658.0,7093984.6,5104362380.14,0.0049,5112790736.650001
22,1.05,0.12,0.12,8468474.52,324134658.0,7069889.24,5103043866.24,0.0063,5111512340.76
23,1.04,0.13,0.12,8543402.07,324134658.0,7055209.14,5102496778.16,0.0037,5111040180.23
24,1.04,0.13,0.12,8581991.28,324134658.0,7042158.12,5101927526.68,0.0037,5110509517.96
25,1.04,0.13,0.12,8601230.44,324134658.0,7037742.92,5101676464.79,0.002,5110277695.23
26,1.04,0.13,0.12,8613280.64,324134658.0,7032816.37,5101470740.03,0.0021,5110084020.67
27,1.04,0.13,0.12,8613280.64,324134658.0,7032816.37,5101470740.03,0.0011,5110084020.67
