,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,20.3,17.8,17.8,17.8,17.0,22.1,22.1,20.3,20.3,20.3,20.3,18.9,22.1,20.3,20.3,20.3,20.3,20.3,22.1,22.1,22.1,22.1,22.1
1,17.0,16.3,16.3,17.0,16.3,36.3,31.3,31.3,27.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,20.3,22.1,22.1
2,15.1,14.8,14.8,42.7,36.3,31.3,31.3,31.3,27.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,20.3,22.1,22.1,22.1,22.1,22.1
3,17.8,17.0,17.0,17.8,17.0,17.0,17.0,17.8,17.8,17.8,18.9,18.9,20.3,22.1,20.3,20.3,20.3,22.1,22.1,22.1,22.1,22.1,22.1
4,15.8,15.4,15.1,27.5,24.5,24.5,22.1,22.1,20.3,20.3,22.1,20.3,22.1,22.1,22.1,22.1,20.3,22.1,22.1,22.1,22.1,22.1,22.1
5,14.3,15.8,15.8,22.1,20.3,20.3,18.9,17.8,17.8,17.8,20.3,18.9,22.1,22.1,22.1,22.1,22.1,20.3,22.1,22.1,22.1,22.1,22.1
6,14.2,50.9,50.9,36.3,31.3,31.3,31.3,24.5,24.5,24.5,24.5,22.1,22.1,20.3,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
7,15.4,15.4,15.4,15.4,31.3,31.3,27.5,24.5,24.5,24.5,22.1,22.1,22.1,20.3,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
8,14.8,14.8,50.9,42.7,36.3,36.3,31.3,31.3,27.5,27.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,20.3,22.1,22.1,22.1,22.1
9,14.3,15.1,20.3,20.3,17.8,17.8,17.8,17.0,22.1,20.3,20.3,22.1,22.1,20.3,20.3,20.3,22.1,22.1,20.3,22.1,22.1,22.1,22.1
10,15.4,15.4,15.8,15.8,22.1,20.3,20.3,20.3,20.3,20.3,18.9,24.5,22.1,22.1,22.1,22.1,20.3,22.1,22.1,20.3,22.1,22.1,22.1
11,22.1,20.3,20.3,17.8,20.3,20.3,18.9,17.8,17.8,31.3,31.3,27.5,24.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1
12,31.3,27.5,24.5,22.1,20.3,20.3,20.3,18.9,18.9,22.1,22.1,22.1,20.3,27.5,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
13,27.5,24.5,22.1,20.3,20.3,18.9,17.8,22.1,22.1,22.1,22.1,20.3,20.3,24.5,24.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1
14,24.5,22.1,20.3,20.3,17.8,17.8,17.8,20.3,20.3,20.3,18.9,20.3,20.3,22.1,22.1,22.1,22.1,22.1,22.1,20.3,20.3,22.1,22.1
15,92.8,75.2,61.6,50.9,42.7,36.3,36.3,36.3,31.3,31.3,31.3,27.5,24.5,24.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1
16,115.5,92.8,92.8,61.6,50.9,50.9,50.9,36.3,36.3,36.3,36.3,31.3,31.3,27.5,27.5,27.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
17,42.7,36.3,31.3,27.5,24.5,24.5,22.1,22.1,20.3,20.3,20.3,20.3,20.3,20.3,20.3,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
18,27.5,24.5,22.1,22.1,20.3,18.9,18.9,17.8,17.8,20.3,20.3,22.1,22.1,22.1,20.3,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1
19,36.3,31.3,27.5,24.5,22.1,22.1,20.3,20.3,20.3,20.3,18.9,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,20.3,22.1,22.1,22.1
20,22.1,20.3,20.3,17.8,17.0,17.8,17.0,31.3,31.3,31.3,27.5,24.5,24.5,24.5,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
