,PAR,demand_reduction,cost_reduction,inconvenient,total_demand,max_demand,cost,run_time,objective
0,2.5,0.0,0.0,0.0,1481745.0,77087.0,22699552.2,0.0,22699552.2
1,1.92,0.23,0.08,4406.3,1481745.0,59206.59,20853023.39,0.0319,20857429.69
2,1.7,0.32,0.08,5893.64,1481745.0,52499.99,20781184.2,0.0131,20787077.84
3,1.53,0.39,0.09,6905.16,1481745.0,47099.99,20758543.71,0.012,20765448.87
4,1.44,0.43,0.09,7300.0,1481745.0,44305.59,20752595.33,0.0099,20759895.33
5,1.38,0.45,0.09,7635.6,1481745.0,42512.72,20748950.16,0.0042,20756585.76
6,1.35,0.46,0.09,7839.13,1481745.0,41700.01,20747560.81,0.0048,20755399.939999998
7,1.33,0.47,0.09,8229.77,1481745.0,41086.98,20745978.19,0.0063,20754207.96
8,1.33,0.47,0.09,8315.02,1481745.0,41130.17,20745474.32,0.0022,20753789.34
9,1.32,0.47,0.09,8376.24,1481745.0,40695.32,20745083.68,0.0029,20753459.919999998
10,1.31,0.48,0.09,8410.54,1481745.0,40456.96,20744900.18,0.0027,20753310.72
11,1.31,0.48,0.09,8418.5,1481745.0,40317.97,20744776.83,0.0015,20753195.33
12,1.3,0.48,0.09,8425.14,1481745.0,40231.81,20744721.57,0.0013,20753146.71
13,1.3,0.48,0.09,8432.72,1481745.0,40136.56,20744673.61,0.0013,20753106.33
14,1.3,0.48,0.09,8437.55,1481745.0,40088.89,20744639.44,0.001,20753076.990000002
15,1.3,0.48,0.09,8441.9,1481745.0,40056.93,20744620.29,0.0009,20753062.189999998
16,1.3,0.48,0.09,8457.46,1481745.0,39986.35,20744574.74,0.0011,20753032.2
17,1.29,0.48,0.09,8456.27,1481745.0,39967.86,20744561.67,0.0011,20753017.94
18,1.29,0.48,0.09,8456.47,1481745.0,39954.57,20744551.88,0.0007,20753008.349999998
19,1.29,0.48,0.09,8458.69,1481745.0,39935.0,20744539.83,0.0008,20752998.52
20,1.29,0.48,0.09,8458.69,1481745.0,39935.0,20744539.83,0.0005,20752998.52
