,0,1,2,3,4,5
0,35.578,35.518,39.818,35.51,35.578,42.21
1,27.21,27.22,37.22,27.228,27.303,30.828
2,41.875,36.325,13.625,36.575,35.382,24.625
3,26.89,31.29,36.89,28.09,28.89,27.89
4,30.371,31.571,34.371,34.371,32.371,36.371
5,29.304,29.304,29.304,29.454,29.304,29.304
6,7.677,7.677,7.677,7.677,7.677,7.677
7,13.833,13.833,13.833,13.833,13.833,13.833
8,19.313,19.313,19.313,19.313,19.313,19.313
9,14.324,14.324,14.324,14.324,14.324,14.324
10,38.278,38.278,38.278,38.398,38.398,38.278
11,15.172,16.072,17.072,16.072,17.472,17.572
12,17.308,17.308,17.308,20.808,18.113,28.638
13,50.175,47.275,44.199,43.45,28.055,32.944
14,35.111,34.611,38.111,33.011,53.006,35.536
15,18.495,18.495,18.533,20.25,18.495,21.533
16,26.766,27.766,27.804,27.816,27.766,26.804
17,14.045,15.545,14.045,15.545,14.045,14.045
18,37.497,37.497,37.497,37.497,37.497,37.497
19,24.036,24.036,24.036,24.036,24.036,24.036
20,12.834,12.834,12.834,12.834,12.834,12.834
21,15.582,15.582,15.582,17.582,18.582,15.582
22,13.78,16.78,13.78,25.58,20.68,16.78
23,24.273,25.773,26.073,39.273,28.173,28.573
24,29.773,30.273,39.318,41.923,32.473,33.873
25,24.805,25.18,44.5,38.335,31.11,31.105
26,34.158,48.531,49.027,38.996,40.973,38.658
27,46.877,51.504,36.068,49.249,25.737,36.852
28,59.241,56.74,56.415,36.251,35.035,44.566
29,55.127,34.039,47.765,32.777,49.239,21.292
30,30.7,49.014,35.876,58.133,51.559,24.085
31,46.271,37.985,27.033,17.304,44.831,22.01
32,30.731,27.324,45.681,26.745,43.756,52.974
33,23.649,37.042,52.469,40.799,54.141,42.839
34,35.055,63.055,46.17,36.695,65.463,41.468
35,50.062,32.437,26.817,45.422,35.589,43.609
36,77.087,17.612,19.072,50.832,18.68,44.23
37,46.922,38.377,43.067,38.752,28.672,46.297
38,73.208,28.983,47.92,65.203,24.188,37.378
39,42.408,54.788,42.401,40.438,21.168,31.533
40,17.973,35.983,29.813,22.378,43.233,48.543
41,34.276,36.801,23.211,34.991,53.376,38.411
42,25.64,45.795,50.54,29.24,32.54,47.64
43,26.583,49.083,45.583,26.783,28.883,47.883
44,20.905,24.205,20.905,29.305,41.005,31.405
45,17.694,19.894,17.694,19.794,28.194,28.194
46,16.438,16.438,16.438,16.438,22.138,23.438
47,26.435,26.435,26.435,26.435,28.635,26.435
