,0,1,2,3,4,5
0,299.818,375.783,360.036,279.568,373.166,372.064
1,272.951,273.253,385.661,259.188,270.247,376.41
2,395.935,313.809,363.213,324.868,302.832,311.378
3,336.75,358.336,320.186,312.862,289.912,301.286
4,281.876,357.481,313.337,355.281,323.102,332.384
5,263.392,369.691,297.617,367.811,297.277,340.458
6,287.35,301.231,310.702,345.506,317.576,290.007
7,269.224,329.352,334.989,273.751,441.141,358.813
8,280.885,247.396,314.302,320.403,403.142,326.582
9,275.328,359.922,341.723,396.592,320.483,346.338
10,227.05,366.454,280.438,366.412,281.927,347.539
11,271.7,353.826,265.796,327.596,288.878,307.182
12,308.961,400.18,334.593,355.277,366.115,301.412
13,334.714,337.052,371.244,349.669,376.061,325.025
14,292.524,332.999,373.647,332.027,354.82,377.022
15,328.41,325.778,364.507,312.136,340.662,316.021
16,319.313,338.919,351.871,332.07,359.28,281.208
17,391.837,326.736,312.624,331.551,327.687,286.315
18,318.237,336.293,323.337,352.678,381.142,373.242
19,334.494,309.69,327.057,339.617,370.169,335.501
20,335.818,313.764,326.506,332.256,311.829,353.07
21,402.641,314.146,327.031,351.556,283.584,331.511
22,359.49,362.315,306.527,328.491,286.347,325.2
23,396.529,318.505,298.288,331.682,343.866,335.944
24,373.493,319.578,315.73,357.626,350.298,327.238
25,326.893,373.648,368.367,319.732,334.005,356.28
26,335.734,369.996,345.475,316.142,377.568,325.276
27,324.126,335.908,322.519,291.609,374.285,296.334
28,377.064,318.911,336.808,306.503,301.819,304.297
29,343.166,357.744,320.409,332.697,306.831,303.385
30,392.616,338.275,338.478,328.811,282.222,322.26
31,352.695,321.38,337.688,376.548,295.386,320.877
32,338.492,315.324,307.715,352.789,333.778,367.792
33,427.18,335.481,376.339,385.737,355.501,341.227
34,349.907,334.289,323.823,321.387,349.191,314.129
35,361.697,333.249,316.967,326.574,324.694,321.086
36,357.269,331.898,357.863,308.522,326.345,350.701
37,369.209,311.217,335.188,305.764,343.701,357.81
38,338.49,287.424,366.779,299.477,325.254,317.8
39,302.984,317.023,295.151,318.538,300.412,346.382
40,291.981,312.317,275.914,355.639,259.177,374.97
41,317.376,285.765,296.452,326.292,299.227,340.623
42,338.43,286.136,323.15,318.844,314.48,316.439
43,255.856,317.111,377.93,300.083,408.921,336.74
44,333.22,320.522,334.442,302.056,328.759,296.691
45,334.156,343.254,332.181,340.168,313.622,319.002
46,354.607,327.507,315.11,342.567,322.47,317.32
47,369.348,334.348,325.506,338.263,312.025,324.645
