,0,1,2,3,4,5
0,17.0,50.9,36.3,15.4,50.9,50.9
1,15.1,15.1,75.2,14.6,15.1,61.6
2,92.8,18.9,42.7,22.1,17.0,17.8
3,24.5,36.3,20.3,18.9,15.8,17.0
4,15.4,36.3,18.9,36.3,20.3,22.1
5,14.8,50.9,17.0,50.9,17.0,24.5
6,15.8,17.0,17.8,27.5,20.3,15.8
7,15.1,22.1,24.5,15.4,2304.0,36.3
8,15.4,14.5,18.9,20.3,115.5,22.1
9,15.4,36.3,24.5,92.8,20.3,31.3
10,14.2,42.7,15.4,42.7,15.4,31.3
11,15.1,31.3,14.8,22.1,15.8,17.8
12,17.8,115.5,24.5,36.3,42.7,17.0
13,24.5,24.5,50.9,31.3,61.6,22.1
14,16.3,22.1,50.9,22.1,36.3,61.6
15,22.1,22.1,42.7,18.9,24.5,18.9
16,20.3,24.5,31.3,22.1,36.3,15.4
17,92.8,22.1,18.9,22.1,22.1,15.8
18,20.3,24.5,20.3,31.3,61.6,50.9
19,24.5,17.8,22.1,24.5,50.9,24.5
20,24.5,18.9,22.1,22.1,17.8,31.3
21,115.5,18.9,22.1,31.3,15.8,22.1
22,36.3,36.3,17.8,22.1,15.8,22.1
23,92.8,20.3,17.0,22.1,27.5,24.5
24,50.9,20.3,18.9,36.3,31.3,22.1
25,22.1,50.9,50.9,20.3,24.5,36.3
26,24.5,50.9,27.5,18.9,61.6,22.1
27,20.3,24.5,20.3,16.3,50.9,17.0
28,61.6,20.3,24.5,17.8,17.0,17.8
29,27.5,36.3,20.3,22.1,17.8,17.8
30,92.8,24.5,24.5,22.1,15.8,20.3
31,31.3,20.3,24.5,61.6,17.0,20.3
32,24.5,18.9,17.8,31.3,24.5,50.9
33,230.4,24.5,61.6,75.2,36.3,24.5
34,31.3,24.5,20.3,20.3,31.3,18.9
35,36.3,22.1,20.3,22.1,20.3,20.3
36,36.3,22.1,36.3,17.8,22.1,31.3
37,50.9,17.8,24.5,17.8,27.5,36.3
38,24.5,15.8,42.7,17.0,22.1,20.3
39,17.0,20.3,17.0,20.3,17.0,31.3
40,16.3,18.9,15.4,36.3,14.6,50.9
41,20.3,15.8,17.0,22.1,17.0,24.5
42,24.5,15.8,20.3,20.3,18.9,20.3
43,14.6,20.3,61.6,17.0,144.6,24.5
44,22.1,20.3,24.5,17.0,22.1,17.0
45,24.5,27.5,22.1,24.5,18.9,20.3
46,36.3,22.1,18.9,27.5,20.3,20.3
47,50.9,24.5,22.1,24.5,18.9,20.3
