,0,1,2,3,4,5
0,27.5,27.5,17.8,20.3,22.1,18.9
1,24.5,24.5,14.8,20.3,31.3,17.8
2,15.1,92.8,24.5,17.0,22.1,24.5
3,14.6,61.6,14.8,20.3,14.8,22.1
4,14.4,22.1,14.5,17.8,14.6,22.1
5,14.3,22.1,15.8,17.8,15.4,15.8
6,14.2,24.5,15.1,92.8,14.3,17.0
7,15.4,17.0,17.8,42.7,20.3,20.3
8,14.8,15.4,50.9,20.3,61.6,17.8
9,20.3,24.5,144.6,14.6,17.8,61.6
10,16.3,20.3,50.9,14.8,20.3,24.5
11,14.8,15.8,22.1,14.6,36.3,15.8
12,17.0,36.3,15.1,15.4,20.3,15.8
13,17.8,20.3,15.4,17.8,14.6,18.9
14,24.5,14.8,17.8,17.0,20.3,16.3
15,31.3,14.6,16.3,15.8,22.1,15.4
16,14.8,20.3,20.3,17.0,15.4,20.3
17,15.4,15.8,16.3,24.5,15.4,20.3
18,22.1,17.0,15.8,17.0,15.8,22.1
19,20.3,15.4,17.8,15.8,15.1,36.3
20,22.1,14.6,17.0,31.3,16.3,14.8
21,18.9,15.4,15.1,17.8,17.0,24.5
22,14.8,16.3,15.4,15.8,15.8,18.9
23,15.8,17.0,15.1,22.1,15.1,15.4
24,20.3,17.0,22.1,17.8,16.3,15.4
25,22.1,20.3,20.3,17.0,20.3,15.8
26,15.4,15.4,15.8,20.3,27.5,27.5
27,20.3,24.5,17.0,24.5,22.1,61.6
28,17.0,20.3,16.3,24.5,17.8,61.6
29,22.1,18.9,18.9,17.8,15.4,15.8
30,15.4,20.3,27.5,15.1,22.1,15.1
31,22.1,15.4,22.1,20.3,17.0,16.3
32,17.8,15.1,17.8,17.8,16.3,16.3
33,24.5,17.8,24.5,15.4,20.3,15.8
34,20.3,17.0,24.5,17.0,15.4,15.4
35,27.5,27.5,17.0,31.3,31.3,31.3
36,92.8,20.3,20.3,22.1,22.1,15.4
37,230.4,17.0,42.7,42.7,20.3,17.0
38,92.8,15.4,22.1,17.0,24.5,24.5
39,92.8,20.3,17.8,20.3,20.3,27.5
40,75.2,15.8,17.8,17.0,24.5,18.9
41,36.3,15.4,17.8,15.1,18.9,20.3
42,22.1,17.0,20.3,15.8,22.1,17.0
43,17.0,15.8,15.8,17.8,24.5,14.6
44,15.1,17.0,17.8,18.9,20.3,14.5
45,14.4,31.3,17.8,18.9,18.9,15.4
46,15.1,20.3,17.0,17.0,17.0,16.3
47,15.4,17.0,16.3,15.8,17.8,17.0
